LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
10	Alamance-Burlington Schools	4943.28	98	963.2	92	1453.19	61	7359.67	105
20	Alexander County Schools	5466.73	64	806.27	109	804.2	113	7077.20	112
30	Alleghany County Schools	7107.63	13	1491.39	23	2001.51	22	10600.53	9
40	Anson County Schools	6546.75	23	1571.81	18	1220.54	86	9339.10	29
50	Ashe County Schools	6317.60	28	1180.70	48	1134.97	89	8633.27	48
761	Asheboro City Schools	5410.30	66	1897.94	8	1663.41	44	8971.65	40
111	Asheville City Schools	5396.14	69	1617.78	17	4432.06	2	11445.98	4
60	Avery County Schools	6735.80	18	1392.76	32	1990.27	23	10118.83	16
70	Beaufort County Schools	5652.46	50	1334.59	36	1713.40	41	8700.45	46
80	Bertie County Schools	7241.64	9	1179.86	49	1077.10	97	9498.60	24
90	Bladen County Schools	5951.87	35	2035.56	6	1098.62	94	9086.05	33
100	Brunswick County Schools	4945.77	97	1154.98	55	2366.52	11	8467.27	52
110	Buncombe County Schools	5080.82	90	979.95	91	1811.79	32	7872.56	81
120	Burke County Schools	5397.24	68	897.99	101	926.43	106	7221.66	110
130	Cabarrus County Schools	4673.48	115	730.48	110	1738.03	40	7141.99	111
140	Caldwell County Schools	5342.19	71	1076.42	71	1088.29	96	7506.90	97
150	Camden County Schools	6461.90	25	715.03	111	900.75	109	8077.68	72
160	Carteret County Schools	4992.24	96	981.94	89	2309.13	14	8283.31	63
170	Caswell County Schools	7105.80	14	1138.33	59	767.55	114	9011.68	36
180	Catawba County Schools	4925.00	102	944.69	94	1459.58	60	7329.27	106
681	Chapel-Hill/Carrboro City Schools	4764.29	108	882.64	102	4617.09	1	10264.02	12
600	Charlotte-Mecklenburg County Schools	4675.71	114	939.12	95	1953.17	25	7568.00	93
190	Chatham County Schools	5054.08	92	1143.13	58	2783.63	6	8980.84	39
200	Cherokee County Schools	6217.05	31	1451.71	26	1603.06	51	9271.82	30
220	Clay County Schools	7165.69	12	1047.56	75	1133.60	90	9346.85	28
230	Cleveland County Schools	5507.56	60	1133.63	60	1478.35	58	8119.54	69
821	Clinton City Schools	5470.23	62	1372.21	34	1507.08	57	8349.52	59
240	Columbus County Schools	5833.17	38	1293.75	41	1072.04	98	8198.96	65
250	Craven County Schools	4925.37	101	1333.91	37	1117.90	91	7377.18	103
260	Cumberland County Schools	4928.67	99	1119.39	64	1787.87	36	7835.93	85
