LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
270	Currituck County Schools	5193.69	81	840.39	105	2635.98	8	8670.06	47
280	Dare County Schools	5336.73	72	980.28	90	4298.28	3	10615.29	8
290	Davidson County Schools	4927.73	100	825.85	107	974.06	104	6727.64	115
300	Davie County Schools	5204.28	80	1073.21	72	1223.13	84	7500.62	98
310	Duplin County Schools	5662.34	49	1240.97	43	933.71	105	7837.02	84
320	Durham County Schools	5027.92	95	1157.95	53	2656.38	7	8842.25	44
210	Edenton-Chowan County Schools	6418.05	26	1328.25	38	1824.71	31	9571.01	23
330	Edgecombe County Schools	5834.38	37	1029.09	79	986.53	102	7850.00	83
861	Elkin City Schools	5800.31	41	1082.23	69	1559.94	55	8442.48	53
340	Forsyth County Schools	5087.18	89	1027.90	80	2280.88	16	8395.96	55
350	Franklin County Schools	5321.28	74	909.6	99	1366.62	69	7597.50	92
360	Gaston County Schools	4831.88	106	1129.96	62	1288.29	76	7250.13	109
370	Gates County Schools	7220.71	10	1145.62	56	1758.54	38	10124.87	14
380	Graham County Schools	7188.60	11	1570.65	19	925.68	107	9684.93	18
390	Granville County Schools	5490.16	61	1017.89	81	1373.52	67	7881.57	79
400	Greene County Schools	6911.87	16	1454.10	25	1102.45	92	9468.42	25
410	Guilford County Schools	4864.01	105	904.23	100	2634.06	9	8402.30	54
420	Halifax County Schools	6299.14	30	2210.58	3	1098.73	93	9608.45	22
430	Harnett County Schools	5180.13	83	851.12	104	992.19	101	7023.44	114
440	Haywood County Schools	5248.66	78	1047.84	74	1874.86	28	8171.36	68
450	Henderson County Schools	5168.57	84	1167.96	51	1295.62	75	7632.15	91
460	Hertford County Schools	6831.00	17	1387.37	33	1417.86	65	9636.23	20
181	Hickory City Schools	5358.01	70	1411.03	31	1338.63	73	8107.67	71
470	Hoke County Schools	5817.34	40	1156.33	54	861.29	110	7834.96	86
480	Hyde County Schools	13196.05	1	2557.10	1	2826.64	5	18579.79	1
490	Iredell-Statesville Schools	4755.51	110	682.28	112	1607.55	49	7045.34	113
500	Jackson County Schools	5756.52	46	1439.96	27	1649.81	46	8846.29	43
510	Johnston County Schools	5126.96	86	607.02	115	2094.17	19	7828.15	87
520	Jones County Schools	8702.43	3	1423.48	29	1233.31	82	11359.22	5
132	Kannapolis City Schools	5183.98	82	1239.16	44	1878.68	27	8301.82	62
530	Lee County Schools	5300.68	77	1109.38	66	1770.85	37	8180.91	66
540	Lenoir County Schools	5598.81	56	1206.86	46	1068.06	100	7873.73	80
291	Lexington City Schools	5829.53	39	2122.76	4	2171.26	18	10123.55	15
550	Lincoln County Schools	5107.84	88	1006.66	85	1256.78	80	7371.28	104
560	Macon County Schools	5588.00	57	1434.49	28	1859.35	29	8881.84	42
570	Madison County Schools	6602.58	22	1115.75	65	1222.83	85	8941.16	41
580	Martin County Schools	6688.58	20	1278.19	42	1437.42	62	9404.19	27
590	McDowell County Schools	5642.71	52	1035.99	78	1280.17	78	7958.87	76
610	Mitchell County Schools	7488.65	6	1222.03	45	1609.96	48	10320.64	11
620	Montgomery County Schools	6096.33	33	1109.06	67	1150.02	88	8355.41	58
630	Moore County Schools	4883.71	104	1107.00	68	1811.47	33	7802.18	88
491	Mooresville City Schools	4727.55	112	680.25	113	2007.49	21	7415.29	100
862	Mount Airy City Schools	5797.04	43	1518.56	21	1692.99	43	9008.59	37
640	Nash-Rocky Mount Schools	5442.37	65	1078.93	70	1588.73	53	8110.03	70
650	New Hanover County Schools	4894.70	103	1158.84	52	2317.85	13	8371.39	56
182	Newton-Conover City Schools	5110.99	87	1637.66	16	1423.00	64	8171.65	67
660	Northampton County Schools	7441.10	7	1788.51	10	1347.78	71	10577.39	10
670	Onslow County Schools	4754.01	111	1037.79	77	1594.47	52	7386.27	102
680	Orange County Schools	5229.33	79	827	106	3061.89	4	9118.22	32
690	Pamlico County Schools	7258.65	8	1731.04	13	1798.93	35	10788.62	7
700	Pasquotank County Schools	5578.37	58	1368.41	35	1663.18	45	8609.96	50
710	Pender County Schools	4824.73	107	931.41	97	1810.10	34	7566.24	94
720	Perquimans County Schools	6712.47	19	1521.16	20	1387.91	66	9621.54	21
730	Person County Schools	5609.05	55	1012.76	84	1629.91	47	8251.72	64
740	Pitt County Schools	5041.38	93	1144.79	57	1711.46	42	7897.63	77
750	Polk County Schools	6307.33	29	985.17	88	2357.92	12	9650.42	19
760	Randolph County Schools	5160.15	85	1015.36	83	1231.35	83	7406.86	101
770	Richmond County Schools	5767.51	45	1421.58	30	833.73	112	8022.82	73
421	Roanoke Rapids City Schools	5540.08	59	1015.73	82	1758.44	39	8314.25	61
780	Robeson County Schools	5874.75	36	1737.05	12	744.19	115	8355.99	57
790	Rockingham County Schools	5640.38	53	1040.88	76	1284.74	77	7966.00	75
800	Rowan-Salisbury County Schools	5068.72	91	919.38	98	1984.35	24	7972.45	74
810	Rutherford County Schools	5695.40	48	1479.98	24	1425.43	63	8600.81	51
820	Sampson County Schools	5736.26	47	1174.87	50	975.86	103	7886.99	78
830	Scotland County Schools	6415.39	27	1836.20	9	1842.52	30	10094.11	17
840	Stanly County Schools	5631.64	54	951.76	93	1275.71	79	7859.11	82
850	Stokes County Schools	5797.94	42	987.42	86	1534.09	56	8319.45	60
860	Surry County Schools	5407.32	67	937.46	96	1329.57	74	7674.35	90
870	Swain County Schools	6656.43	21	1327.95	39	1090.87	95	9075.25	34
292	Thomasville City Schools	5771.30	44	2122.74	5	1564.99	54	9459.03	26
880	Transylvania County Schools	5467.68	63	875.76	103	2284.33	15	8627.77	49
890	Tyrrell County Schools	11808.98	2	2032.04	7	1244.22	81	15085.24	2
900	Union County Schools	4764.09	109	631	114	1907.59	26	7302.68	107
910	Vance County Schools	6150.98	32	1509.06	22	1372.21	68	9032.25	35
920	Wake County Schools	4715.65	113	806.52	108	2039.27	20	7561.44	96
930	Warren County Schools	6947.71	15	1675.91	15	1606.10	50	10229.72	13
940	Washington County Schools	8028.72	4	1783.78	11	1465.06	59	11277.56	6
950	Watauga County Schools	5305.29	76	1127.06	63	2554.60	10	8986.95	38
960	Wayne County Schools	5329.83	73	1068.61	73	1069.56	99	7468.00	99
422	Weldon City Schools	7735.62	5	2325.48	2	2242.02	17	12303.12	3
241	Whiteville City Schools	6087.09	34	1703.36	14	911.52	108	8701.97	45
970	Wilkes County Schools	5315.03	75	1132.96	61	852	111	7299.99	108
980	Wilson County Schools	5039.59	94	1183.93	47	1339.98	72	7563.50	95
990	Yadkin County Schools	5650.66	51	986.76	87	1163.64	87	7801.06	89
995	Yancey County Schools	6516.92	24	1306.99	40	1350.69	70	9174.60	31
