Year	LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
2004	10	Alamance-Burlington Schools	"4,256.17"	112	482.52	78	"1,304.16"	49	"6,042.85"	106
2004	20	Alexander County Schools	"4,396.78"	102	378.55	100	"1,084.16"	76	"5,859.49"	115
2004	30	Alleghany County Schools	"6,372.22"	8	595.72	50	"1,228.36"	61	"8,196.30"	12
2004	40	Anson County Schools	"5,055.75"	35	858.77	18	991.6	91	"6,906.12"	52
2004	50	Ashe County Schools	"5,724.96"	17	778.44	31	"1,003.24"	89	"7,506.64"	27
2004	761	Asheboro City Schools	"4,639.66"	69	411.26	95	"1,369.49"	44	"6,420.41"	81
2004	111	Asheville City Schools	"5,042.39"	38	"1,069.55"	10	"3,592.29"	2	"9,704.23"	3
2004	60	Avery County Schools	"5,922.43"	11	"1,070.98"	9	"1,517.94"	27	"8,511.35"	9
2004	70	Beaufort County Schools	"4,862.30"	47	853.95	19	"1,248.87"	59	"6,965.12"	47
2004	80	Bertie County Schools	"5,685.07"	19	895.26	16	873.58	106	"7,453.91"	30
2004	90	Bladen County Schools	"5,044.42"	37	927.74	14	875.86	104	"6,848.02"	56
2004	100	Brunswick County Schools	"4,608.67"	75	532.36	65	"2,057.86"	13	"7,198.89"	36
2004	110	Buncombe County Schools	"4,464.60"	96	485.72	76	"1,478.39"	31	"6,428.71"	79
2004	120	Burke County Schools	"4,506.71"	91	500.55	74	"1,043.43"	82	"6,050.69"	104
2004	130	Cabarrus County Schools	"4,231.97"	115	292.37	116	"1,422.09"	38	"5,946.43"	109
2004	140	Caldwell County Schools	"4,464.92"	95	372.3	101	"1,034.50"	84	"5,871.72"	114
2004	150	Camden County Schools	"5,852.90"	15	371.22	102	551.67	116	"6,775.79"	61
2004	160	Carteret County Schools	"4,656.11"	67	474.84	79	"2,190.25"	11	"7,321.20"	34
2004	170	Caswell County Schools	"5,619.07"	21	559.21	60	722.41	114	"6,900.69"	53
2004	180	Catawba County Schools	"4,392.26"	103	307.57	112	"1,249.59"	58	"5,949.42"	108
2004	681	Chapel-Hill/Carrboro City Schools	"4,461.24"	97	368.28	103	"3,971.85"	1	"8,801.37"	6
2004	600	Charlotte-Mecklenburg County Schools	"4,303.43"	109	420.25	93	"2,193.93"	10	"6,917.61"	51
2004	190	Chatham County Schools	"4,618.19"	74	455.4	84	"2,200.40"	8	"7,273.99"	35
2004	200	Cherokee County Schools	"5,390.55"	26	817.12	26	586.55	115	"6,794.22"	58
2004	220	Clay County Schools	"6,747.08"	4	613.76	48	"1,099.96"	75	"8,460.80"	10
2004	230	Cleveland County Schools	"4,600.10"	76	538.63	64	"1,251.13"	56	"6,389.86"	84
2004	821	Clinton City Schools	"4,782.47"	55	594.87	51	"1,383.43"	42	"6,760.77"	62
2004	240	Columbus County Schools	"5,063.18"	34	662.76	41	888.26	103	"6,614.20"	68
2004	250	Craven County Schools	"4,641.38"	68	833.81	23	993.78	90	"6,468.97"	77
2004	260	Cumberland County Schools	"4,369.25"	106	726.61	34	"1,150.21"	70	"6,246.07"	90
2004	270	Currituck County Schools	"4,856.97"	48	356.42	107	"1,860.06"	17	"7,073.45"	43
2004	280	Dare County Schools	"4,621.96"	72	325.89	109	"3,027.27"	3	"7,975.12"	16
2004	290	Davidson County Schools	"4,209.95"	117	279.72	117	"1,012.83"	88	"5,502.50"	117
2004	300	Davie County Schools	"4,573.41"	78	296.35	114	"1,237.90"	60	"6,107.66"	99
2004	310	Duplin County Schools	"4,784.19"	53	895.12	17	893.58	102	"6,572.89"	73
2004	320	Durham County Schools	"4,564.49"	81	425.48	89	"2,599.93"	5	"7,589.90"	23
2004	210	Edenton-Chowan County Schools	"5,681.35"	20	600.44	49	"1,429.78"	36	"7,711.57"	21
2004	330	Edgecombe County Schools	"4,994.15"	40	833.32	24	959.37	95	"6,786.84"	59
2004	861	Elkin City Schools	"5,233.79"	30	417.78	94	"1,475.84"	33	"7,127.41"	39
2004	340	Forsyth County Schools	"4,509.31"	90	389.77	99	"1,965.41"	15	"6,864.49"	54
2004	350	Franklin County Schools	"4,554.48"	82	513.63	69	"1,257.21"	54	"6,325.32"	86
2004	360	Gaston County Schools	"4,297.20"	110	512.63	70	"1,180.08"	65	"5,989.91"	107
2004	370	Gates County Schools	"6,168.21"	10	464.22	82	"1,251.56"	55	"7,883.99"	19
2004	380	Graham County Schools	"6,563.77"	5	"1,246.19"	5	537.23	117	"8,347.19"	11
2004	390	Granville County Schools	"4,540.55"	86	405.32	96	"1,153.40"	69	"6,099.27"	100
2004	400	Greene County Schools	"5,548.61"	24	693.58	39	"1,109.83"	74	"7,352.02"	31
2004	410	Guilford County Schools	"4,345.85"	108	438.27	87	"2,197.35"	9	"6,981.47"	45
2004	420	Halifax County Schools	"5,274.15"	29	"1,482.41"	1	773.46	110	"7,530.02"	24
2004	430	Harnett County Schools	"4,512.35"	89	482.92	77	947.11	99	"5,942.38"	111
2004	440	Haywood County Schools	"4,628.01"	71	559.57	59	"1,732.22"	19	"6,919.80"	50
2004	450	Henderson County Schools	"4,476.27"	93	518.69	67	"1,414.51"	39	"6,409.47"	83
2004	460	Hertford County Schools	"5,579.07"	23	821.56	25	"1,065.58"	80	"7,466.21"	29
2004	181	Hickory City Schools	"4,543.41"	84	546.09	62	"1,337.27"	46	"6,426.77"	80
2004	470	Hoke County Schools	"4,803.08"	51	654.58	43	760.25	113	"6,217.91"	94
