Year	LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
2004	480	Hyde County Schools	"9,337.03"	1	"1,002.03"	13	"2,437.31"	6	"12,776.37"	1
2004	490	Iredell-Statesville Schools	"4,281.37"	111	318	111	"1,286.50"	52	"5,885.87"	112
2004	500	Jackson County Schools	"4,999.43"	39	625.65	47	"1,858.03"	18	"7,483.11"	28
2004	510	Johnston County Schools	"4,410.14"	100	367.87	104	"1,512.79"	28	"6,290.80"	88
2004	520	Jones County Schools	"7,437.29"	3	"1,176.79"	7	772.42	111	"9,386.50"	4
2004	132	Kannapolis City Schools	"4,376.29"	104	424.79	90	"1,428.23"	37	"6,229.31"	92
2004	530	Lee County Schools	"4,575.23"	77	509.18	71	"1,169.39"	66	"6,253.80"	89
2004	540	Lenoir County Schools	"4,674.91"	66	718.65	36	"1,180.89"	64	"6,574.45"	72
2004	291	Lexington City Schools	"5,161.20"	32	786.82	30	"1,939.03"	16	"7,887.05"	18
2004	550	Lincoln County Schools	"4,455.95"	98	335.95	108	"1,262.34"	53	"6,054.24"	103
2004	560	Macon County Schools	"4,867.33"	46	463.93	83	"1,345.80"	45	"6,677.06"	66
2004	570	Madison County Schools	"5,893.74"	14	659.02	42	"1,129.29"	72	"7,682.05"	22
2004	580	Martin County Schools	"5,296.08"	28	798.03	28	"1,250.10"	57	"7,344.21"	32
2004	590	McDowell County Schools	"4,783.01"	54	739.06	33	969.27	94	"6,491.34"	76
2004	610	Mitchell County Schools	"5,704.35"	18	564.91	57	873.09	107	"7,142.35"	37
2004	620	Montgomery County Schools	"5,046.12"	36	586.25	54	"1,477.48"	32	"7,109.85"	41
2004	630	Moore County Schools	"4,553.13"	83	465.98	81	"1,670.43"	24	"6,689.54"	65
2004	491	Mooresville City Schools	"4,214.80"	116	325.01	110	"1,675.85"	22	"6,215.66"	95
2004	862	Mount Airy City Schools	"4,894.72"	44	438.16	88	"1,627.40"	25	"6,960.28"	48
2004	640	Nash-Rocky Mount Schools	"4,789.99"	52	557.41	61	"1,062.86"	81	"6,410.26"	82
2004	650	New Hanover County Schools	"4,374.60"	105	543.26	63	"2,219.02"	7	"7,136.88"	38
2004	182	Newton-Conover City Schools	"4,749.67"	59	845.38	22	"1,435.74"	35	"7,030.79"	44
2004	660	Northampton County Schools	"5,835.54"	16	"1,159.71"	8	989.64	93	"7,984.89"	15
2004	670	Onslow County Schools	"4,472.05"	94	517.45	68	"1,066.12"	79	"6,055.62"	102
2004	680	Orange County Schools	"4,736.05"	62	404.81	97	"2,629.92"	4	"7,770.78"	20
2004	690	Pamlico County Schools	"6,382.50"	7	704.74	37	"1,081.38"	77	"8,168.62"	13
2004	700	Pasquotank County Schools	"4,759.23"	58	530.47	66	"1,305.68"	48	"6,595.38"	70
2004	710	Pender County Schools	"4,621.22"	73	637.68	45	"1,320.67"	47	"6,579.57"	71
2004	720	Perquimans County Schools	"6,438.72"	6	"1,185.05"	6	"1,018.86"	87	"8,642.63"	8
2004	730	Person County Schools	"4,541.23"	85	453.3	85	"1,118.04"	73	"6,112.57"	98
2004	740	Pitt County Schools	"4,568.37"	79	560.95	58	"1,378.25"	43	"6,507.57"	74
2004	750	Polk County Schools	"5,362.42"	27	803.48	27	"1,729.35"	20	"7,895.25"	17
2004	760	Randolph County Schools	"4,356.94"	107	297.53	113	953.72	97	"5,608.19"	116
2004	770	Richmond County Schools	"4,970.79"	41	647.59	44	837.92	108	"6,456.30"	78
2004	421	Roanoke Rapids City Schools	"4,817.52"	49	628.67	46	"1,509.64"	29	"6,955.83"	49
2004	780	Robeson County Schools	"4,723.61"	63	720.02	35	768.14	112	"6,211.77"	96
2004	790	Rockingham County Schools	"4,804.83"	50	503.1	72	"1,290.35"	51	"6,598.28"	69
2004	800	Rowan-Salisbury County Schools	"4,409.94"	101	443.27	86	"1,196.69"	63	"6,049.90"	105
2004	810	Rutherford County Schools	"4,743.03"	60	467.04	80	"1,022.59"	85	"6,232.66"	91
2004	999	STATE TOTAL	"4,559.86"	0	510.53	0	"1,544.92"	0	"6,615.31"	0
2004	820	Sampson County Schools	"4,761.84"	57	593.24	52	956.24	96	"6,311.32"	87
2004	830	Scotland County Schools	"5,084.77"	33	"1,056.40"	11	"1,385.72"	41	"7,526.89"	26
2004	840	Stanly County Schools	"4,565.83"	80	420.64	92	"1,144.27"	71	"6,130.74"	97
2004	850	Stokes County Schools	"4,966.22"	42	571.47	56	"1,156.69"	68	"6,694.38"	64
2004	860	Surry County Schools	"4,701.87"	64	489.49	75	"1,035.42"	83	"6,226.78"	93
2004	870	Swain County Schools	"5,908.81"	12	"1,251.12"	4	874.11	105	"8,034.04"	14
2004	292	Thomasville City Schools	"4,437.42"	99	850.56	20	"1,498.00"	30	"6,785.98"	60
2004	880	Transylvania County Schools	"4,875.23"	45	422.36	91	"1,677.89"	21	"6,975.48"	46
2004	890	Tyrrell County Schools	"9,214.21"	2	902.28	15	990.59	92	"11,107.08"	2
2004	900	Union County Schools	"4,251.62"	113	293.07	115	"1,397.84"	40	"5,942.53"	110
2004	910	Vance County Schools	"4,771.12"	56	697.89	38	"1,157.51"	67	"6,626.52"	67
2004	920	Wake County Schools	"4,249.35"	114	367.01	105	"2,105.64"	12	"6,722.00"	63
2004	930	Warren County Schools	"5,582.00"	22	848.71	21	913.2	101	"7,343.91"	33
2004	940	Washington County Schools	"6,304.94"	9	"1,340.05"	2	"1,074.52"	78	"8,719.51"	7
2004	950	Watauga County Schools	"4,740.62"	61	398.82	98	"1,979.83"	14	"7,119.27"	40
2004	960	Wayne County Schools	"4,530.65"	88	590.29	53	948.64	98	"6,069.58"	101
2004	422	Weldon City Schools	"5,908.76"	13	"1,254.34"	3	"1,672.63"	23	"8,835.73"	5
2004	241	Whiteville City Schools	"5,217.40"	31	792.6	29	809.39	109	"6,819.39"	57
2004	970	Wilkes County Schools	"4,696.60"	65	500.58	73	"1,298.55"	50	"6,495.73"	75
2004	980	Wilson County Schools	"4,539.55"	87	580.18	55	"1,220.12"	62	"6,339.85"	85
2004	990	Yadkin County Schools	"4,495.71"	92	358.92	106	"1,020.76"	86	"5,875.39"	113
2004	995	Yancey County Schools	"5,504.11"	25	671.05	40	922.02	100	"7,097.18"	42
										
1										
