Year	LEA	LEA Name	State PPE	State Rank	Federal PPE	Federal Rank	Local PPE	Local Rank	Total PPE	Total Rank
2005	291	Lexington City Schools	"5,526.95"	29	941.32	25	"1,947.17"	17	"8,415.44"	16
2005	550	Lincoln County Schools	"4,569.03"	99	388.57	100	"1,219.08"	67	"6,176.68"	107
2005	560	Macon County Schools	"5,084.36"	48	478.27	82	"1,517.64"	35	"7,080.27"	64
2005	570	Madison County Schools	"6,015.97"	21	618.84	56	"1,023.76"	97	"7,658.57"	39
2005	580	Martin County Schools	"5,305.15"	35	"1,295.12"	7	"1,430.41"	43	"8,030.68"	28
2005	590	McDowell County Schools	"5,005.66"	54	573.21	62	983.69	99	"6,562.56"	91
2005	610	Mitchell County Schools	"6,166.45"	14	650.09	49	844.51	108	"7,661.05"	37
2005	620	Montgomery County Schools	"5,322.42"	33	998.08	19	"1,429.82"	44	"7,750.32"	33
2005	630	Moore County Schools	"4,734.28"	79	533.56	71	"1,816.64"	20	"7,084.48"	63
2005	491	Mooresville City Schools	"4,327.01"	114	263.86	115	"1,552.35"	34	"6,143.22"	109
2005	862	Mount Airy City Schools	"5,061.36"	50	524.87	74	"1,798.16"	22	"7,384.39"	48
2005	640	Nash-Rocky Mount Schools	"4,784.40"	74	720.75	42	"1,149.16"	76	"6,654.31"	83
2005	650	New Hanover County Schools	"4,469.73"	105	681.63	44	"2,407.28"	7	"7,558.64"	40
2005	182	Newton-Conover City Schools	"4,981.53"	56	940.62	26	"1,758.18"	25	"7,680.33"	36
2005	660	Northampton County Schools	"6,051.11"	17	"1,226.01"	10	"1,269.68"	58	"8,546.80"	15
2005	670	Onslow County Schools	"4,631.19"	91	540	70	"1,210.91"	71	"6,382.10"	98
2005	680	Orange County Schools	"4,700.89"	85	405.16	97	"2,889.00"	4	"7,995.05"	29
2005	690	Pamlico County Schools	"6,884.09"	4	808	34	"1,224.48"	66	"8,916.57"	9
2005	700	Pasquotank County Schools	"5,129.75"	41	781.31	37	"1,565.98"	33	"7,477.04"	45
2005	710	Pender County Schools	"4,708.89"	83	581.64	59	"1,400.34"	48	"6,690.87"	81
2005	720	Perquimans County Schools	"6,387.14"	12	"1,452.23"	4	"1,090.57"	87	"8,929.94"	8
2005	730	Person County Schools	"4,612.44"	95	471.16	84	"1,132.47"	79	"6,216.07"	102
2005	740	Pitt County Schools	"4,769.21"	76	706.67	43	"1,409.62"	47	"6,885.50"	69
2005	750	Polk County Schools	"5,746.89"	26	413.2	94	"1,691.36"	30	"7,851.45"	31
2005	760	Randolph County Schools	"4,402.80"	107	380.86	103	"1,011.83"	98	"5,795.49"	114
2005	770	Richmond County Schools	"5,087.00"	47	662.94	47	873.69	107	"6,623.63"	86
2005	421	Roanoke Rapids City Schools	"4,968.87"	57	578.99	61	"1,762.24"	24	"7,310.10"	53
2005	780	Robeson County Schools	"5,064.32"	49	878.15	28	778.3	110	"6,720.77"	78
2005	790	Rockingham County Schools	"4,941.18"	59	522.49	75	"1,380.15"	50	"6,843.82"	71
2005	800	Rowan-Salisbury County Schools	"4,567.76"	100	409.14	95	"1,419.30"	45	"6,396.20"	96
2005	810	Rutherford County Schools	"4,885.99"	66	616.46	57	"1,111.32"	82	"6,613.77"	89
2005	999	STATE TOTAL	"4,723.58"	0	562.33	0	"1,635.61"	0	"6,921.52"	0
2005	820	Sampson County Schools	"4,982.50"	55	628.66	53	772.45	112	"6,383.61"	97
2005	830	Scotland County Schools	"5,355.87"	32	"1,242.58"	8	"1,450.68"	40	"8,049.13"	27
2005	840	Stanly County Schools	"4,802.83"	71	435.25	91	"1,218.85"	68	"6,456.93"	94
2005	850	Stokes County Schools	"5,109.97"	45	652.26	48	"1,257.04"	61	"7,019.27"	65
2005	860	Surry County Schools	"4,880.28"	67	526.38	73	"1,052.47"	94	"6,459.13"	93
2005	870	Swain County Schools	"6,545.73"	9	"1,221.96"	11	"1,059.62"	92	"8,827.31"	11
2005	292	Thomasville City Schools	"5,097.32"	46	"1,184.16"	12	"1,799.26"	21	"8,080.74"	25
2005	880	Transylvania County Schools	"5,044.07"	51	485.58	79	"1,763.93"	23	"7,293.58"	54
2005	890	Tyrrell County Schools	"9,767.89"	2	996.44	20	"1,071.57"	89	"11,835.90"	2
2005	900	Union County Schools	"4,304.28"	115	372.73	104	"1,494.71"	39	"6,171.72"	108
2005	910	Vance County Schools	"5,128.09"	42	"1,002.65"	18	"1,253.32"	62	"7,384.06"	49
2005	920	Wake County Schools	"4,410.93"	106	385.82	101	"2,178.84"	12	"6,975.59"	67
2005	930	Warren County Schools	"5,925.49"	22	"1,090.19"	15	"1,066.99"	90	"8,082.67"	24
2005	940	Washington County Schools	"6,798.07"	7	"1,615.40"	2	"1,196.87"	72	"9,610.34"	5
2005	950	Watauga County Schools	"4,921.80"	61	445.26	90	"2,165.74"	13	"7,532.80"	43
2005	960	Wayne County Schools	"4,873.20"	69	643.38	50	"1,100.57"	85	"6,617.15"	88
2005	422	Weldon City Schools	"6,073.76"	16	"1,851.93"	1	"2,106.85"	16	"10,032.54"	3
2005	241	Whiteville City Schools	"5,302.22"	36	757.8	39	906.27	105	"6,966.29"	68
2005	970	Wilkes County Schools	"4,900.18"	63	553.24	69	"1,261.51"	60	"6,714.93"	80
2005	980	Wilson County Schools	"4,666.69"	87	678.99	45	"1,296.54"	55	"6,642.22"	85
2005	990	Yadkin County Schools	"4,651.52"	88	400.23	98	"1,056.28"	93	"6,108.03"	110
2005	995	Yancey County Schools	"5,865.13"	24	771.45	38	"1,024.05"	96	"7,660.63"	38
										
1										
