,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
314, Dalton Mcmichael High ,107,55.7,500,482,464,982,1446
354, John M Morehead High ,120,56.3,489,463,456,952,1408
366, Reidsville High ,101,64.3,436,423,421,859,1280
378, Rockingham Co High ,121,51.9,521,482,483,1003,1486
800, Rowan-Salisbury Schools ,619,47.4,506,479,457,985,1442
308, Henderson Independent Hs ,,,,,,,
340, East Rowan High ,138,50.4,517,479,452,996,1448
361, Jesse C. Carson High ,84,39.8,508,485,458,993,1451
376, North Rowan High ,50,39.4,492,456,434,948,1382
396, Salisbury High ,122,60.1,516,490,477,1006,1483
400, South Rowan High ,113,52.6,500,473,458,973,1431
408, West Rowan High ,112,41.6,494,478,452,972,1424
810, Rutherford County Schools ,284,47.1,482,460,444,942,1386
324, Chase High ,64,39.8,473,426,405,899,1304
340, East Rutherford High ,112,65.9,480,466,458,946,1404
384, R S Central ,91,39.6,489,475,455,964,1419
385, Rutherford County Early Col Hi ,17,70.8,485,464,443,949,1392
81A , Thomas Jefferson Cla ,31,86.1,530,563,529,1093,1622
820, Sampson County Schools ,162,38.6,452,431,418,883,1301
324, Sampson Early College High ,2,5.1,*,*,*,*,*
348, Hobbton High ,41,40.2,455,439,416,894,1310
349, Lakewood High ,29,36.7,433,421,413,854,1267
352, Midway High ,58,43.6,464,438,429,902,1331
388, Union High ,32,47.8,438,408,405,846,1251
821, Clinton City Schools ,96,55.5,463,450,443,913,1356
308, Clinton High ,96,55.5,463,450,443,913,1356
316, East Laurinburg Alternative ,197,55.3,467,433,430,900,1330
346, Scotland High ,   ,   ,   ,   ,   ,   ,   
700, Scotland High Of Health Sci ,120,NA,468,434,429,902,1331
702, Scotland High Sch Of Visual & ,16,18.6,458,427,426,885,1311
703, Scotland High School Of Busine ,17,21.5,468,434,440,902,1342
704, Scotland High School Of Leader ,6,11.3,428,403,375,831,1206
705, Scotland High School Of Math ,19,27.9,451,413,409,864,1273
830,,18,28.1,507,458,466,965,1431
840, Stanly County Schools,293,47.4,504,468,451,972,1423
302, Albemarle High ,61,52.6,472,434,426,906,1332
332, North Stanly High ,75,42.4,490,477,449,967,1416
356, South Stanly High ,65,52.4,512,464,442,976,1418
361, Stanly Early College High Scho ,   ,   ,   ,   ,   ,   ,   
368, West Stanly High ,92,46,530,487,475,1017,1492
84B , Gray Stone Day ,56,87.5,548,568,546,1116,1662
850, Stokes County Schools,193,41.5,496,476,465,972,1437
332, N Stokes Mid/High ,34,42,510,483,458,993,1451
352, South Stokes High ,47,35.9,489,461,458,950,1408
358, West Stokes High ,112,45.2,494,481,470,975,1445
860, Surry County Schools ,180,35.5,527,480,469,1007,1476
316, East Surry High ,68,46.3,524,475,477,999,1476
336, North Surry High ,65,32.7,507,472,454,979,1433
352, Surry Central High ,47,29.2,559,500,479,1059,1538
354, Surry Early College Hs Design ,   ,   ,   ,   ,   ,   ,   
861, Elkin City Schools ,53,64.6,547,526,518,1073,1591
308, Elkin High ,53,64.6,547,526,518,1073,1591
862, Mount Airy City Schools,76,60.3,521,507,496,1028,1524
312, Mount Airy High ,76,60.3,521,507,496,1028,1524
870, Swain County Schools ,46,36.8,482,490,472,972,1444
314, Swain County High ,46,38.7,482,490,472,972,1444
880, Transylvania County Schools,114,48.5,539,514,493,1053,1546
308, Brevard High ,92,57.5,543,519,499,1062,1561
328, Rosman Middle/High ,22,33.3,518,494,466,1012,1478
890, Tyrrell County Schools,12,37.5,483,483,452,966,1418
304, Columbia High ,12,37.5,483,483,452,966,1418
900, Union County Schools,1306,63.6,522,506,494,1028,1522
316, Forest Hills High ,75,42.6,507,461,461,968,1429
336, Monroe High ,51,44.7,469,467,442,936,1378
342, Porter Ridge High ,197,61.6,511,490,473,1001,1474
344, Parkwood High ,130,64,517,503,490,1020,1510
348, Piedmont High ,105,47.9,508,501,490,1009,1499
360, Sun Valley High ,174,55.4,509,497,489,1006,1495
366, Central Academy Of Technology ,95,74.8,500,493,472,993,1465
367, Union County Early College Hig ,   ,   ,   ,   ,   ,   ,   
377, Weddington High ,272,85.5,543,531,523,1074,1597
393, Marvin Ridge High School ,205,89.5,559,532,520,1091,1611
90A , Union Academy ,   ,   ,   ,   ,   ,   ,   
910, Vance County Schools ,174,37.2,448,424,419,872,1291
364, Southern Vance High ,66,33.5,455,432,426,887,1313
370, Northern Vance High ,104,41.4,446,422,419,868,1287
382, Vance County Early College Hig ,3,NA,*,*,*,*,*
920, Wake County Schools,5338,67.1,547,526,510,1073,1583
316, Apex High ,376,79.7,576,536,521,1112,1633
318, Athens Drive High ,274,71.7,562,520,508,1082,1590
348, Needham Broughton High ,324,73.5,554,535,518,1089,1607
368, Cary High ,253,69.7,560,542,520,1102,1622
411, East Wake High6,50,NA,465,456,432,921,1353
412, William G Enloe High ,422,70.9,599,592,575,1191,1766
428, Fuquay-Varina High ,202,52.7,523,506,485,1029,1514
436, Garner High ,240,48.7,489,473,450,962,1412
441, Green Hope High ,410,85.2,588,548,544,1136,1680
455, Holly Springs High ,227,67.6,529,519,496,1048,1544
466, Knightdale High ,172,52.6,477,460,441,937,1378
473, Leesville Road High ,381,73,582,551,529,1133,1662
495, Middle Creek High ,207,68.8,525,511,495,1036,1531
500, Millbrook High ,258,64.3,519,504,490,1023,1513
526, Panther Creek High School ,276,73,573,539,534,1112,1646
528, Phillips High ,5,11.9,410,410,334,820,1154
552, Sanderson High ,254,64.6,555,535,514,1090,1604
562, Southeast Raleigh High ,237,63,503,491,478,994,1472
583, Wake Early College Of Health A ,   ,   ,   ,   ,   ,   ,   
588, Wake F-Rolesville High ,281,64.7,525,518,498,1043,1541
595, Wakefield High ,411,76.4,532,521,515,1053,1568
700, East Wake Health Science ,31,38.8,467,422,415,889,1304
701, East Wake School Of Integrated ,10,19.6,417,394,378,811,1189
702, East Wake School Of Arts  educ ,20,21.3,470,471,453,941,1394
703, East Wake School Of Engineerin ,17,27,491,419,414,910,1324
92F , Franklin Academy ,55,77.5,550,555,532,1105,1637
92G , East Wake Academy ,21,48.8,459,494,473,953,1426
92K , Raleigh Charter High ,119,96.7,635,617,599,1252,1851
92P , Southern Wake Academ ,4,17.4,*,*,*,*,*
930, Warren County School ,94,55,409,407,408,816,1224
352, Warren County High ,94,55,409,407,408,816,1224
93A , Haliwa-Saponi Tribal ,5,62.5,466,428,408,894,1302
940, Washington County Schools ,65,45.5,405,382,380,787,1167
308, Creswell High ,4,17.4,*,*,*,*,*
316, Plymouth High ,61,50.8,404,385,382,789,1171
950, Watauga County Schools ,200,61.5,553,546,531,1099,1630
336, Watauga High ,200,61.5,553,546,531,1099,1630
960, Wayne County Schools ,501,43.5,497,475,454,972,1426
324, Charles B Aycock High ,95,37.4,512,488,468,1000,1468
330, Eastern Wayne High ,156,58.6,521,496,477,1017,1494
335, Goldsboro High ,65,47.4,433,422,397,855,1252
372, Rosewood High ,41,32.8,509,498,477,1007,1484
380, Southern Wayne High ,96,45.7,472,455,423,927,1350
386, Spring Creek High ,37,33,511,462,460,973,1433
490, Wayne Early/Middle College ,11,42.3,514,528,513,1042,1555
970, Wilkes County Schools,234,42.8,526,500,475,1026,1501
320, East Wilkes High ,49,46.7,536,520,506,1056,1562
356, North Wilkes High ,35,31,522,515,477,1037,1514
388, West Wilkes High ,45,34.6,551,526,503,1077,1580
390, Wilkes Central High ,105,63.6,513,475,449,988,1437
980, Wilson County Schools ,310,44.7,494,467,456,961,1417
318, Beddingfield High ,71,37.4,465,447,419,912,1331
336, Fike High ,114,44.5,507,478,468,985,1453
342, Hunt High ,125,50.6,499,469,466,968,1434
990, Yadkin County Schools ,180,50,509,470,451,979,1430
322, Forbush High ,110,51.9,514,474,459,988,1447
326, Starmount High ,70,47.9,499,463,439,962,1401
995, Yancey County Schools,67,36.2,533,504,492,1037,1529
330, Mountain Heritage High ,67,36.2,533,504,492,1037,1529
