,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
210, Edenton-Chowan Schools,89,52,479,455,440,934,1374
312, John A Holmes High ,89,52,479,455,440,934,1374
220, Clay County Schools ,55,59.8,515,479,481,994,1475
310, Hayesville High ,55,59.8,515,479,481,994,1475
230, Cleveland County Schools,472,47.5,510,485,467,995,1462
312, Burns High ,91,37.1,510,470,460,980,1440
322, Cleveland Early College ,   ,   ,   ,   ,   ,   ,   
324, Crest Senior High ,117,46.4,514,489,469,1003,1472
350, Kings Mountain High ,120,48.4,523,497,481,1020,1501
361, Shelby High ,144,61.5,497,481,459,978,1437
240, Columbus County Schools ,181,48.3,455,435,425,890,1315
334, East Columbus High ,61,53.5,429,416,406,845,1251
371, South Columbus High ,59,43.4,499,483,469,982,1451
373, Southeastern Early College ,1,50,*,*,*,*,*
380, West Columbus High ,60,48.8,438,404,397,842,1239
241, Whiteville City Schools ,72,45.9,470,426,440,896,1336
316, Whiteville High ,72,46.8,470,426,440,896,1336
250, Craven County Schools ,344,39.5,511,490,471,1001,1472
314, Craven Early College High Scho ,2,200,*,*,*,*,*
340, Havelock High ,78,30.2,518,495,464,1013,1477
356, New Bern High ,206,53.2,513,497,483,1010,1493
372, West Craven High ,58,25.8,498,461,438,959,1397
260, Cumberland County Schools,1645,51.3,479,470,449,949,1398
318, Jack Britt High ,226,55,508,501,482,1009,1491
322, Douglas Byrd High ,138,68.7,441,417,393,858,1251
325, Cape Fear High ,122,44.4,512,488,474,1000,1474
346, Cumberland Evening Academy ,2,3.6,*,*,*,*,*
354, Cross Creek Early College ,35,55.6,485,457,439,942,1381
357, Gray's Creek High ,84,45.2,475,484,454,959,1413
359, E E Smith High ,106,45.7,435,430,412,865,1277
374, Fuller Performance Learing Ce ,1,3,*,*,*,*,*
388, Massey Hill Classic Sch ,52,82.5,514,517,486,1031,1517
408, Pine Forest High ,205,62.3,474,467,448,941,1389
409, Ramsey St Hs Alt Program ,,,,,,,
411, Reid Ross Classical School ,46,73,472,514,495,986,1481
424, Seventy-First High ,144,41,462,454,431,916,1347
427, South View High ,203,62.7,478,469,444,947,1391
446, Terry Sanford High ,174,58.8,523,511,485,1034,1519
455, Westover High ,88,34.5,422,413,402,835,1237
700, Howard Health ,18,52.9,447,398,389,845,1234
270, Currituck County Schools ,143,53,502,494,463,996,1459
306, Currituck County High ,143,53,502,494,463,996,1459
280, Dare County Schools ,237,75.2,526,506,481,1032,1513
304, Cape Hatteras Secondary ,28,63.6,494,480,469,974,1443
316, Manteo High ,61,70.1,526,507,476,1033,1509
330, First Flight High ,148,82.7,532,510,484,1042,1526
290, Davidson County Schools,571,46.3,515,496,484,1011,1495
308, Central Davidson High ,69,35.2,511,482,469,993,1462
315, Davidson Early College ,5,41.7,468,536,520,1004,1524
324, East Davidson High ,75,38.5,509,498,482,1007,1489
336, Ledford Senior High ,129,52.9,514,511,504,1025,1529
348, North Davidson Sr High ,196,61.8,516,495,478,1011,1489
365, South Davidson High ,24,35.8,527,500,495,1027,1522
388, West Davidson High ,73,46.2,519,480,475,999,1474
291, Lexington City Schools ,86,54.1,438,430,411,868,1279
336, Lexington Sr High ,86,55.5,438,430,411,868,1279
292, Thomasville City Schools ,60,41.7,441,437,420,878,1298
324, Thomasville High ,60,41.7,441,437,420,878,1298
300, Davie County Schools ,178,46.4,528,509,494,1037,1531
312, Davie High ,178,46.4,528,509,494,1037,1531
310, Duplin County Schools,189,40.6,466,439,434,905,1339
344, East Duplin High ,58,33.1,503,482,474,985,1459
352, James Kenan High ,46,41.8,429,420,407,849,1256
364, North Duplin Jr Sr ,30,52.6,483,444,435,927,1362
392, Wallace-Rose Hill High ,55,44.7,448,407,414,855,1269
700, James Kenan High Of Engineerin ,   ,   ,   ,   ,   ,   ,   
320, Durham Public Schools ,1191,63.2,489,476,461,965,1426
309, Josephine Dobbs Clement Early ,42,72.4,471,446,447,917,1364
312, C E Jordan High ,261,68.9,534,530,514,1064,1578
