,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,420,Purnell Swett High,134,49.6,451,405,413,856,1269,,,,
790,790,Rockingham County ,458,60.3,510,479,472,989,1461,,,,
,314,Dalton McMichael High,100,56.2,524,496,479,1020,1499,,,,
,354,John M Morehead High,137,64.3,508,470,474,978,1452,,,,
,366,Reidsville High,100,68.5,479,451,445,930,1375,,,,
,378,Rockingham Co High,121,54.3,527,497,488,1024,1512,,,,
800,800,Rowan-Salisbury ,611,50.2,507,484,472,991,1463,,,,
,308,Henderson Indep High ,,,,,,,,,,,
,340,East Rowan High,134,47.5,504,483,476,987,1463,,,,
,361,Jesse C. Carson,,,,,,,,,,,
,376,North Rowan High,76,51.7,479,452,437,931,1368,,,,
,396,Salisbury High,135,68.9,522,500,492,1022,1514,,,,
,400,South Rowan High,152,47.6,511,485,464,996,1460,,,,
,408,West Rowan High,113,42.8,509,489,477,998,1475,,,,
810,810,Rutherford County ,285,49.6,494,471,459,965,1424,,,,
,324,Chase High,68,44.2,485,439,431,924,1355,,,,
,340,East Rutherford High,102,56.4,480,452,438,932,1370,,,,
,384,R S Central,115,52.8,512,507,493,1019,1512,,,,
81A,81A,Thomas Jefferson Classical,19,135.7,495,529,521,1024,1545,,,,
820,820,Sampson County ,187,41.7,468,448,433,916,1349,,,,
,348,Hobbton High,44,43.1,495,467,455,962,1417,,,,
,349,Lakewood High,49,45.4,438,451,431,889,1320,,,,
,352,Midway High,47,38.2,493,461,454,954,1408,,,,
,388,Union High,47,40.9,449,413,397,862,1259,,,,
821,821,Clinton City ,89,50.6,486,466,461,952,1413,,,,
,308,Clinton High,89,50.6,486,466,461,952,1413,,,,
830,830,Scotland County ,188,56.1,492,451,447,943,1390,,,,
,346,Scotland High,188,86.2,492,451,447,943,1390,,,,
840,840,Stanly County ,301,47.6,515,471,469,986,1455,,,,
,302,Albemarle High,92,60.1,488,455,457,943,1400,,,,
,332,North Stanly High,49,32,486,465,458,951,1409,,,,
,356,South Stanly High,54,56.3,527,458,444,985,1429,,,,
,368,West Stanly High,106,46.1,546,493,498,1039,1537,,,,
84B,84B,Gray Stone Day,30,93.8,561,550,548,1111,1659,,,,
850,850,Stokes County ,214,47.3,505,480,461,985,1446,,,,
,332,North Stokes High,34,39.1,469,435,432,904,1336,,,,
,352,South Stokes High,63,43.8,488,465,450,953,1403,,,,
,358,West Stokes High,116,53,525,502,475,1027,1502,,,,
860,860,Surry County ,209,43.1,519,490,475,1009,1484,,,,
,316,East Surry High,75,53.6,507,482,461,989,1450,,,,
,336,North Surry High,64,36.2,534,505,491,1039,1530,,,,
,352,Surry Central High,70,41.7,518,485,476,1003,1479,,,,
861,861,Elkin City ,48,69.6,525,495,485,1020,1505,,,,
,308,Elkin High,48,69.6,525,495,485,1020,1505,,,,
862,862,Mount Airy City ,77,63.6,522,494,487,1016,1503,,,,
,312,Mount Airy High,77,63.6,522,494,487,1016,1503,,,,
870,870,Swain County ,43,39.8,517,521,500,1038,1538,,,,
,314,Swain County High,43,39.8,517,521,500,1038,1538,,,,
880,880,Transylvania County ,122,56.5,551,541,510,1092,1602,,,,
,308,Brevard High,92,70.2,557,543,508,1100,1608,,,,
,328,Rosman Middle/High,30,39.5,536,535,516,1071,1587,,,,
890,890,Tyrrell County ,17,50,455,445,406,900,1306,,,,
,304,Columbia High,17,50,455,445,406,900,1306,,,,
900,900,Union County ,1060,66.5,520,503,494,1023,1517,,,,
,316,Forest Hills High,84,42.4,496,454,463,950,1413,,,,
,336,Monroe High,96,62.3,470,464,453,934,1387,,,,
,342,Porter Ridge High,,,,,,,,,,,
,344,Parkwood High,165,64,529,505,496,1034,1530,,,,
,348,Piedmont High,190,65.5,525,498,493,1023,1516,,,,
,360,Sun Valley High,209,64.5,516,509,494,1025,1519,,,,
,365,South Providence,20,1000,537,498,488,1035,1523,,,,
,377,Weddington High,293,85.7,538,527,518,1065,1583,,,,
,393,Marvin Ridge High School,,,,,,,,,,,
910,910,Vance County ,182,49.9,439,415,420,854,1274,,,,
,364,Southern Vance High,80,51.6,455,425,433,880,1313,,,,
,370,Northern Vance High,102,53.4,426,407,411,833,1244,,,,
920,920,Wake County ,5237,78.9,544,522,510,1066,1576,,,,
,316,Apex High,416,91.8,564,543,527,1107,1634,,,,
,318,Athens Drive High,275,83.3,562,520,516,1082,1598,,,,
,324,Longview,,,,,,,,,,,
,348,Needham Broughton High,429,86.5,552,539,532,1091,1623,,,,
,368,Cary High,385,80.2,554,538,517,1092,1609,,,,
,411,East Wake High,180,49.5,489,472,458,961,1419,,,,
,412,William G Enloe High,411,86.3,594,579,564,1173,1737,,,,
,428,Fuquay-Varina High,201,64.8,539,509,492,1048,1540,,,,
,436,Garner High,213,58.7,485,470,448,955,1403,,,,
,441,Green Hope High,432,92.5,575,538,530,1113,1643,,,,
,466,Knightdale High,,,,,,,,,,,
,473,Leesville Road High,421,83.7,564,534,518,1098,1616,,,,
,495,Middle Creek High,274,77.4,518,502,495,1020,1515,,,,
,500,Millbrook High,367,92.9,533,512,502,1045,1547,,,,
,528,Phillips High,*,*,*,*,*,*,*,,,,
,552,Sanderson High,245,69.4,526,507,506,1033,1539,,,,
,562,Southeast Raleigh High,364,76.2,512,492,486,1004,1490,,,,
,588,Wake F-Rolesville High,244,72.2,516,496,482,1012,1494,,,,
,595,Wakefield High,372,84.5,535,510,502,1045,1547,,,,
,700,East Wake Health Sci,,,,,,,,,,,
,701,East Wake Integ Tech ,,,,,,,,,,,
,702,East Wake Arts Ed & ,,,,,,,,,,,
,703,East Wake Engineerin ,,,,,,,,,,,
92F,92F,Franklin Academy ,21,87.5,496,511,494,1007,1501,,,,
92G,92G,East Wake Academy,6,31.6,495,515,492,1010,1502,,,,
92K,92K,Raleigh Charter High,96,91.4,625,646,621,1271,1892,,,,
92P,92P,Community Partners,9,47.4,461,504,458,965,1423,,,,
930,930,Warren County ,102,50.2,431,416,402,847,1249,,,,
,352,Warren County High,102,50.2,431,416,402,847,1249,,,,
,93A,Haliwa-Saponi Tribal Sch,,,,,,,,,,,
940,940,Washington County ,72,49.7,420,393,400,813,1213,,,,
,308,Creswell High,8,38.1,509,468,461,977,1438,,,,
,316,Plymouth High,64,51.6,409,384,392,793,1185,,,,
950,950,Watauga County ,218,75.4,562,538,521,1100,1621,,,,
,336,Watauga High,218,75.4,562,538,521,1100,1621,,,,
960,960,Wayne County ,525,47.6,489,472,459,961,1420,,,,
,324,Charles B Aycock High,98,38.9,514,504,484,1018,1502,,,,
,330,Eastern Wayne High,157,61.3,525,490,486,1015,1501,,,,
,335,Goldsboro High,75,50,421,419,407,840,1247,,,,
,372,Rosewood High,62,52.5,489,476,467,965,1432,,,,
,380,Southern Wayne High,82,39.6,467,451,441,918,1359,,,,
,386,Spring Creek High,51,45.1,468,461,428,929,1357,,,,
,490,Wayne Early/Middle College,,,,,,,,,,,
970,970,Wilkes County ,251,47.1,521,503,486,1024,1510,,,,
,320,East Wilkes High,36,40,536,524,512,1060,1572,,,,
,356,North Wilkes High,61,43.9,528,488,477,1016,1493,,,,
,388,West Wilkes High,55,40.7,526,502,484,1028,1512,,,,
,390,Wilkes Central High,99,58.6,509,506,482,1015,1497,,,,
980,980,Wilson County ,361,53.3,492,458,451,950,1401,,,,
,318,Beddingfield High,100,51,454,426,420,880,1300,,,,
,336,Fike High,130,56.8,506,469,461,975,1436,,,,
,342,James Hunt High,131,52,508,470,464,978,1442,,,,
990,990,Yadkin County ,170,49.4,512,487,475,999,1474,,,,
,322,Forbush High,111,55,517,490,473,1007,1480,,,,
,326,Starmount High,59,41.5,502,482,480,984,1464,,,,
995,995,Yancey County ,54,38,531,507,493,1038,1531,,,,
,330,Mountain Heritage High,54,38,531,507,493,1038,1531,,,,
