,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,314,Hiwassee Dam High,22,50,505,509,458,1014,1472,,,,
,328,Murphy High,76,71,534,516,497,1050,1547,,,,
210,210,Edenton/Chowan County,71,47,494,482,458,976,1434,,,,
,312,John A Holmes High,71,47,494,482,458,976,1434,,,,
220,220,Clay County,70,80.5,518,509,496,1027,1523,,,,
,310,Hayesville High,70,80.5,518,509,496,1027,1523,,,,
230,230,Cleveland County4,475,51.8,513,483,470,996,1466,,,,
,312,Burns High,117,52.5,485,457,450,942,1392,,,,
,324,Crest Senior High,156,52.3,523,486,468,1009,1477,,,,
,350,Kings Mountain High1,104,46.6,522,484,465,1006,1471,,,,
,361,Shelby High,98,59,524,507,502,1031,1533,,,,
240,240,Columbus County,153,40.4,458,441,442,899,1341,,,,
,334,East Columbus High,48,51.1,429,424,423,853,1276,,,,
,371,South Columbus High,53,32.1,505,461,457,966,1423,,,,
,380,West Columbus High,52,45.2,437,436,445,873,1318,,,,
241,241,Whiteville City,82,57.3,465,435,441,900,1341,,,,
,316,Whiteville High,82,58.6,465,435,441,900,1341,,,,
250,250,Craven County,410,50.2,511,500,476,1011,1487,,,,
,340,Havelock High,121,48.4,495,489,466,984,1450,,,,
,356,New Bern High,221,61.6,518,500,480,1018,1498,,,,
,372,West Craven High,68,32.9,520,517,480,1037,1517,,,,
260,260,Cumberland County,1705,54,484,475,463,959,1422,,,,
,318,Jack Britt High,203,58.2,512,481,470,993,1463,,,,
,322,Douglas Byrd High,119,49.6,475,458,435,933,1368,,,,
,325,Cape Fear High,119,39.5,517,485,490,1002,1492,,,,
,346,Cumberland Evening Acad.,,,,,,,,,,,
,357,Gray's Creek High ,99,50.3,470,468,451,938,1389,,,,
,359,E E Smith High,141,52.6,432,435,426,867,1293,,,,
,388,Massey Hill Classic,50,71.4,529,519,506,1048,1554,,,,
,408,Pine Forest High,177,53.8,484,462,451,946,1397,,,,
,409,Ramsey St HS Alt Program,,,,,,,,,,,
,411,Reid Ross Classical ,53,79.1,492,496,498,988,1486,,,,
,424,Seventy-First High,187,54.7,460,454,448,914,1362,,,,
,427,South View High,203,54.6,478,470,456,948,1404,,,,
,446,Terry Sanford High,218,76.8,538,541,522,1079,1601,,,,
 ,451,Web Academy ,5,29.4,458,542,480,1000,1480,,,,
,455,Westover High,131,47,425,432,418,857,1275,,,,
270,270,Currituck County,124,53.2,523,496,483,1019,1502,,,,
,306,Currituck County High,124,53.2,523,496,483,1019,1502,,,,
280,280,Dare County,226,70.2,531,493,480,1024,1504,,,,
,304,Cape Hatteras Secondary,30,62.5,517,485,478,1002,1480,,,,
,316,Manteo High,68,60.2,535,486,476,1021,1497,,,,
