 																																																																																																																																																																																																								
			2006							2007							2008																																																																																																																																																																																							
	School System & School		# Tested	% Tested	Math Score	CR Score1	Writing Score	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score	M+CR2	M+CR+W3				 																																																																																																																																																																													
	United States (All Students)		"1,465,744"	48.0	518	503	497	1021	1518	"1,494,531"	48.0	515	502	494	1017	1511	"1,518,859"	45.0	515	502	494	1017	1511																																																																																																																																																																																	
	North Carolina (All Students)		"52,690"	71.0	513	495	485	1008	1493	"55,114"	71.0	509	495	482	1004	1486	"56,442"	63.0	511	496	482	1007	1489																																																																																																																																																																																	
	NC School of Science & Math		280	NA	691	657	634	1348	1982	311	NA	684	647	626	1331	1957	296	NA	690	646	639	1336	1975																																																																																																																																																																																	
	NC School of the Arts		95	NA	552	584	563	1136	1699	114	NA	573	587	577	1160	1737	106	NA	555	581	563	1136	1699																																																																																																																																																																																	
010	Alamance Burlington		724	57.1	509	487	472	996	1468	870	65.6	499	473	460	972	1432	821	62.1	508	481	467	989	1456																																																																																																																																																																																	
	303	Alamance-Burlington Middle College								1	3.4	.	.	.	.	.	5	16.7	516	486	474	1002	1476																																																																																																																																																																																	
	324	Eastern Alamance High	104	51.5	531	501	497	1032	1529	120	63.2	531	493	481	1024	1505	115	65.7	529	489	467	1018	1485																																																																																																																																																																																	
	348	Graham High	77	55.8	479	470	457	949	1406	110	67.9	457	430	425	887	1312	89	54.6	468	452	439	920	1359																																																																																																																																																																																	
	360	HM Cummings HS	70	42.2	423	400	382	823	1205	93	63.3	434	414	398	848	1246	87	58.0	434	407	403	841	1244																																																																																																																																																																																	
	388	Southern High	134	52.5	500	476	457	976	1433	136	56.0	495	480	461	975	1436	143	51.4	507	485	480	992	1472																																																																																																																																																																																	
	396	Walter M Williams High	210	75.5	527	507	491	1034	1525	218	79.0	526	500	489	1026	1515	204	76.4	527	495	487	1022	1509																																																																																																																																																																																	
	400	Western Alamance High	129	62.3	538	510	494	1048	1542	192	71.6	507	481	466	988	1454	178	70.1	529	506	479	1035	1514																																																																																																																																																																																	
01B	River Mill Charter		11	84.6	496	481	494	977	1471	15	107.1	479	510	499	989	1488	21	72.4	466	496	479	962	1441																																																																																																																																																																																	
01C	Clover Garden 		8	160.0	425	375	383	800	1183	10	111.1	480	496	480	976	1456	8	61.5	458	428	425	886	1311																																																																																																																																																																																	
01D	New Century Charter 		7	36.8	431	497	460	928	1388	5	35.7	474	496	448	970	1418	8	40.0	413	426	451	839	1290																																																																																																																																																																																	
020	Alexander County		145	45.2	506	462	453	968	1421	147	39.8	507	469	451	976	1427	163	48.1	487	466	443	953	1396																																																																																																																																																																																	
	302	Alexander Central High	145	45.2	506	462	453	968	1421	147	39.8	507	469	451	976	1427	163	48.1	487	466	443	953	1396																																																																																																																																																																																	
030	Alleghany County		45	52.3	491	474	470	965	1435	37	37.4	501	479	480	980	1460	52	43.7	519	480	464	999	1463																																																																																																																																																																																	
	304	Alleghany High	45	52.3	491	474	470	965	1435	37	37.4	501	479	480	980	1460	52	43.7	519	480	464	999	1463																																																																																																																																																																																	
040	Anson County		124	47.3	451	433	419	884	1303	120	50.0	441	418	415	859	1274	97	44.3	434	409	406	843	1249																																																																																																																																																																																	
	304	Anson Early College 															1	12.5																																																																																																																																																																																						
	305	Anson Challenge Acad 															1	14.3																																																																																																																																																																																						
	306	Anson High	122	49.4	451	434	420	885	1305	120	51.9	441	418	415	859	1274	95	46.6	433	410	405	843	1248																																																																																																																																																																																	
050	Ashe County		102	62.6	524	508	499	1032	1531	122	51.3	524	499	486	1023	1509	93	50.3	530	502	473	1032	1505																																																																																																																																																																																	
	302	Ashe Cty. HS	102	62.6	524	508	499	1032	1531	122	51.3	524	499	486	1023	1509	93	50.3	530	502	473	1032	1505																																																																																																																																																																																	
060	Avery County		71	52.2	526	506	491	1032	1523	98	55.7	509	493	481	1002	1483	61	50.8	505	487	456	992	1448																																																																																																																																																																																	
	302	Avery County High	71	52.2	526	506	491	1032	1523	98	55.7	509	493	481	1002	1483	61	50.8	505	487	456	992	1448																																																																																																																																																																																	
06B	Crossnore Academy 		7	100.0	336	339	331	675	1006	5	100.0	434	470	448	904	1352	2	100.0																																																																																																																																																																																						
070	Beaufort County		178	44.3	492	474	466	966	1432	203	52.9	503	469	456	972	1428	179	47.1	505	475	461	980	1441																																																																																																																																																																																	
	330	Northside High	43	43.9	499	474	467	973	1440	58	54.7	527	485	459	1012	1471	41	47.7	529	505	478	1034	1512																																																																																																																																																																																	
	339	Southside High	30	36.1	492	480	466	972	1438	35	43.8	502	443	422	945	1367	32	34.4	505	461	464	966	1430																																																																																																																																																																																	
	342	Washington High	105	48.6	489	472	466	961	1427	110	56.1	490	469	465	959	1424	106	53.5	497	468	453	965	1418																																																																																																																																																																																	
080	Bertie County		108	54.0	414	398	392	812	1204	97	46.2	429	408	392	837	1229	104	50.5	424	408	403	832	1235																																																																																																																																																																																	
	312	Bertie High	108	56.5	414	398	392	812	1204	97	48.3	429	408	392	837	1229	104	52.0	424	408	403	832	1235																																																																																																																																																																																	
090	Bladen County		168	59.6	450	430	417	880	1297	153	54.1	448	428	414	876	1290	161	53.1	435	421	405	856	1261																																																																																																																																																																																	
	330	East Bladen High	75	54.3	444	420	422	864	1286	75	57.7	442	419	409	861	1270	87	56.5	428	415	404	843	1247																																																																																																																																																																																	
	368	West Bladen High	93	66.0	455	439	414	894	1308	78	51.3	453	437	418	890	1308	74	50.3	442	429	406	871	1277																																																																																																																																																																																	
100	Brunswick County		244	44.6	500	491	476	991	1467	282	42.9	497	481	466	978	1444	284	42.3	507	496	481	1003	1484																																																																																																																																																																																	
	308	Brunswick Learn Center								2	16.7	.	.	.	.	.																																																																																																																																																																																								
	326	North Brunswick High	64	42.7	460	452	429	912	1341	61	35.7	468	460	437	928	1365	59	32.1	480	464	458	944	1402																																																																																																																																																																																	
	334	South Brunswick High	82	44.8	512	503	489	1015	1504	124	53.7	509	489	478	998	1476	110	48.7	519	513	495	1032	1527																																																																																																																																																																																	
	348	West Brunswick High	98	49.2	516	508	497	1024	1521	95	39.1	500	481	471	981	1452	114	46.0	507	494	476	1001	1477																																																																																																																																																																																	
110	Buncombe County		848	56.5	541	511	498	1052	1550	896	59.7	540	520	500	1060	1560	804	55.1	542	522	505	1064	1569																																																																																																																																																																																	
	304	A C Reynolds High	170	57.6	540	528	508	1068	1576	208	68.0	555	545	520	1100	1620	155	57.6	559	544	516	1103	1619																																																																																																																																																																																	
	322	Buncombe Co Early Col	13	52.0	498	521	495	1019	1514	1																																																																																																																																																																																														
	323	Buncombe Co Middle C 															7	18.9	461	536	514	997	1511																																																																																																																																																																																	
