,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,,,,,,,,, 
316,Bartlett Yancey High,88,49.7,457,452,445,909,1354,,,,,,,,,,,
180,Catawba County,594,56.4,517,485,465,1002,1467,,,,,,,,,,,
308,Bandys High,120,62.8,494,465,450,959,1409,,,,,,,,,,,
320,Bunker Hill High,86,47.5,477,438,423,915,1338,,,,,,,,,,,
340,Fred T Foard High,159,55.2,531,499,478,1030,1508,,,,,,,,,,,
348,Maiden High,64,45.7,513,488,474,1001,1475,,,,,,,,,,,
376,St Stephens High,165,65.2,543,509,482,1052,1534,,,,,,,,,,,
181,Hickory City,190,73.9,522,501,500,1023,1523,,,,,,,,,,,
318,Catawba Valley High,1,11.1,0,0,0,0,0,,,,,,,,,,,
322,Hickory High,189,76.2,523,502,501,1025,1526,,,,,,,,,,,
182,Newton-Conover City,104,52,491,463,450,954,1404,,,,,,,,,,,
316,Newton-Conover High,104,57.5,491,463,450,954,1404,,,,,,,,,,,
700,Newton-Conover Healt ,,,,,,,,,,,,,,,,,,
190,Chatham County,292,61.6,493,474,469,967,1436,,,,,,,,,,,
316,Chatham Central High,55,50,490,447,462,937,1399,,,,,,,,,,,
336,Jordan Matthewes High,96,64,487,451,446,938,1384,,,,,,,,,,,
342,Northwood High,141,66.8,498,500,487,998,1485,,,,,,,,,,,
19B,Woods Charter,16,100,533,566,541,1099,1640,,,,,,,,,,,
200,Cherokee County,96,50.8,513,487,473,1000,1473,,,,,,,,,,,
308,Andrews High,29,72.5,497,474,453,971,1424,,,,,,,,,,,
314,Hiwassee Dam High,7,38.9,494,464,443,958,1401,,,,,,,,,,,
328,Murphy High,60,50.4,522,496,486,1018,1504,,,,,,,,,,,
210,Edenton/Chowan County,96,59.3,482,460,451,942,1393,,,,,,,,,,,
312,John A Holmes High,96,59.3,482,460,451,942,1393,,,,,,,,,,,
220,Clay County,52,59.1,547,521,519,1068,1587,,,,,,,,,,,
310,Hayesville High,52,59.1,547,521,519,1068,1587,,,,,,,,,,,
230,Cleveland County4,557,55.6,505,486,470,991,1461,,,,,,,,,,,
312,Burns High,113,48.9,468,453,442,921,1363,,,,,,,,,,,
324,Crest Senior High,178,57.2,496,476,457,972,1429,,,,,,,,,,,
350,Kings Mountain High1,141,54.2,531,502,484,1033,1517,,,,,,,,,,,
361,Shelby High,125,68.3,524,511,496,1035,1531,,,,,,,,,,,
240,Columbus County,180,47,458,430,426,888,1314,,,,,,,,,,,
334,East Columbus High,82,68.3,430,410,397,840,1237,,,,,,,,,,,
371,South Columbus High,57,34.3,517,476,479,993,1472,,,,,,,,,,,
380,West Columbus High,41,42.3,431,406,410,837,1247,,,,,,,,,,,
241,Whiteville City,96,57.8,455,439,454,894,1348,,,,,,,,,,,
316,Whiteville High,96,60.4,455,439,454,894,1348,,,,,,,,,,,
250,Craven County,393,46.1,514,497,474,1011,1485,,,,,,,,,,,
340,Havelock High,91,39.2,497,486,461,983,1444,,,,,,,,,,,
356,New Bern High,231,58.8,530,513,491,1043,1534,,,,,,,,,,,
372,West Craven High,71,31.3,485,461,434,946,1380,,,,,,,,,,,
260,Cumberland County,1723,54,476,466,453,942,1395,,,,,,,,,,,
318,Jack Britt High,231,59.2,508,488,479,996,1475,,,,,,,,,,,
322,Douglas Byrd High,125,58.4,449,430,420,879,1299,,,,,,,,,,,
325,Cape Fear High,124,42.8,501,469,453,970,1423,,,,,,,,,,,
346,Cumberland Evening Acad.,3,9.7,0,0,0,0,0,,,,,,,,,,,
357,Gray's Creek High ,95,43.8,470,462,452,932,1384,,,,,,,,,,,
359,E E Smith High,147,56.8,437,426,416,863,1279,,,,,,,,,,,
388,Massey Hill Classic,44,80,498,507,480,1005,1485,,,,,,,,,,,
408,Pine Forest High,190,60.9,454,451,437,905,1342,,,,,,,,,,,
409,Ramsey St HS Alt Program,1,3.8,0,0,0,0,0,,,,,,,,,,,
411,Reid Ross Classical ,55,69.6,461,465,460,926,1386,,,,,,,,,,,
424,Seventy-First High,161,46.1,464,459,433,923,1356,,,,,,,,,,,
427,South View High,200,54.1,470,463,449,933,1382,,,,,,,,,,,
446,Terry Sanford High,230,74.7,540,533,519,1073,1592,,,,,,,,,,,
451,Web Academy ,2,5.6,0,0,0,0,0,,,,,,,,,,,
455,Westover High,112,46.1,413,402,402,815,1217,,,,,,,,,,,
270,Currituck County,130,57,505,489,472,994,1466,,,,,,,,,,,
306,Currituck County High,130,57,505,489,472,994,1466,,,,,,,,,,,
280,Dare County,249,74.6,514,493,483,1007,1490,,,,,,,,,,,
304,Cape Hatteras Secondary,31,66,464,455,458,919,1377,,,,,,,,,,,
316,Manteo High,86,72.9,521,499,480,1020,1500,,,,,,,,,,,
330,First Flight High,131,77.5,520,499,491,1019,1510,,,,,,,,,,,
290,Davidson County,663,52.3,505,486,473,991,1464,,,,,,,,,,,
308,Central Davidson High,73,42.4,507,477,465,984,1449,,,,,,,,,,,
314,Davidson Co Ext Day,1,4.8,0,0,0,0,0,,,,,,,,,,,
315,Davidson Early College,11,64.7,536,533,495,1069,1564,,,,,,,,,,,
324,East Davidson High,119,51.5,499,481,476,980,1456,,,,,,,,,,,
336,Ledford Senior High,125,58.4,507,501,493,1008,1501,,,,,,,,,,,
348,North Davidson Sr High,228,63.9,511,486,467,997,1464,,,,,,,,,,,
365,South Davidson High,44,43.1,477,470,463,947,1410,,,,,,,,,,,
388,West Davidson High,62,47,507,485,470,992,1462,,,,,,,,,,,
291,Lexington City,45,36.3,444,422,399,866,1265,,,,,,,,,,,
336,Lexington Sr High,45,38.1,444,422,399,866,1265,,,,,,,,,,,
