,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,,,,,,,,, 
347,Nrm Early College H ,,,,,,,,,,,,,,,,,,
350,Northern Nash High,142,52,493,473,464,966,1430,,,,,,,,,,,
361,Rocky Mount High,129,52,486,459,460,945,1405,,,,,,,,,,,
364,Southern Nash Sr High,120,42.4,486,462,441,948,1389,,,,,,,,,,,
64A,Rocky Mount Prep ,24,75,469,455,428,924,1352,,,,,,,,,,,
650,New Hanover County ,1030,70.5,517,500,491,1017,1508,,,,,,,,,,,
326,Emsley A Laney High,254,63.5,501,482,476,983,1459,,,,,,,,,,,
327,Eugene Ashley High,198,63.3,520,497,487,1017,1504,,,,,,,,,,,
342,John T Hoggard High,356,92.7,545,524,515,1069,1584,,,,,,,,,,,
352,New Hanover High,222,66.3,486,486,471,972,1443,,,,,,,,,,,
660,Northampton County ,136,62.7,404,396,389,800,1189,,,,,,,,,,,
324,Northampton High West,70,72.9,405,387,377,792,1169,,,,,,,,,,,
336,Northampton High East,66,55.5,403,404,403,807,1210,,,,,,,,,,,
670,Onslow County ,671,53.6,500,485,464,985,1449,,,,,,,,,,,
320,Dixon High,64,53.8,476,466,448,942,1390,,,,,,,,,,,
324,Jacksonville High,169,76.1,501,485,459,986,1445,,,,,,,,,,,
333,Northside High,93,51.7,477,466,452,943,1395,,,,,,,,,,,
340,Richlands High,60,40.3,518,507,483,1025,1508,,,,,,,,,,,
344,Southwest High,84,54.2,484,465,435,949,1384,,,,,,,,,,,
352,Swansboro High,85,40.7,507,490,469,997,1466,,,,,,,,,,,
364,White Oak High,116,53.2,529,512,497,1041,1538,,,,,,,,,,,
680,Orange County ,280,72.7,525,515,501,1040,1541,,,,,,,,,,,
310,Cedar Ridge High ,154,77.8,541,532,520,1073,1593,,,,,,,,,,,
332,Orange Senior High,126,67.4,505,494,477,999,1476,,,,,,,,,,,
681,Chapel Hill-Carrboro,704,96.2,604,581,572,1185,1757,,,,,,,,,,,
308,Chapel Hill High,339,96.6,602,574,568,1176,1744,,,,,,,,,,,
314,East Chapel Hill High,365,95.8,605,588,576,1193,1769,,,,,,,,,,,
68N,Pace Academy,1,2.4,0,0,0,0,0,,,,,,,,,,,
690,Pamlico County ,58,46.4,500,476,435,976,1411,,,,,,,,,,,
320,Pamlico County High,58,46.4,500,476,435,976,1411,,,,,,,,,,,
700,Pasquotank County ,210,60.3,449,441,425,890,1315,,,,,,,,,,,
317,Northeastern High,97,53.3,452,453,435,905,1340,,,,,,,,,,,
319,Pasquotank County High,113,69.8,447,431,417,878,1295,,,,,,,,,,,
710,Pender County ,256,58,493,479,466,972,1438,,,,,,,,,,,
321,Heide Trask High,61,50.4,463,444,421,907,1328,,,,,,,,,,,
326,Pender High,60,51.3,483,462,448,945,1393,,,,,,,,,,,
342,Topsail High,135,66.5,512,502,494,1014,1508,,,,,,,,,,,
720,Perquimans County ,62,52.5,485,440,433,925,1358,,,,,,,,,,,
316,Perquimans Co High,62,52.5,485,440,433,925,1358,,,,,,,,,,,
730,Person County ,181,51.9,478,470,459,948,1407,,,,,,,,,,,
352,Person High,181,51.9,478,470,459,948,1407,,,,,,,,,,,
740,Pitt County ,690,57.7,505,483,472,988,1460,,,,,,,,,,,
309,Ayden-Grifton High,46,46,466,463,440,929,1369,,,,,,,,,,,
333,D H Conley High,140,59.6,528,493,482,1021,1503,,,,,,,,,,,
344,Farmville Central High,75,51.7,469,446,446,915,1361,,,,,,,,,,,
366,J H Rose High,197,60.4,522,501,495,1023,1518,,,,,,,,,,,
374,North Pitt High,75,48.1,468,440,426,908,1334,,,,,,,,,,,
388,South Central High,157,67.4,511,494,476,1005,1481,,,,,,,,,,,
750,Polk County ,85,55.6,534,506,492,1040,1532,,,,,,,,,,,
318,Polk County High,85,55.6,534,506,492,1040,1532,,,,,,,,,,,
760,Randolph County ,501,49,503,477,465,980,1445,,,,,,,,,,,
318,Eastern Randolph High,139,48.1,491,474,452,965,1417,,,,,,,,,,,
348,Randleman High,98,50,498,481,468,979,1447,,,,,,,,,,,
358,Southwestern High,108,39.9,509,470,462,979,1441,,,,,,,,,,,
380,Trinity High,156,58.4,513,481,477,994,1471,,,,,,,,,,,
761,Asheboro City ,160,66.1,491,466,458,957,1415,,,,,,,,,,,
304,Asheboro High,160,66.1,491,466,458,957,1415,,,,,,,,,,,
770,Richmond County ,140,30.6,481,464,441,945,1386,,,,,,,,,,,
348,Richmond Senior High,140,31.8,481,464,441,945,1386,,,,,,,,,,,
780,Robeson County ,517,42.7,447,420,412,867,1279,,,,,,,,,,,
325,Fairmont High,47,33.3,454,436,444,890,1334,,,,,,,,,,,
342,Lumberton Senior High,224,53.8,450,431,422,881,1303,,,,,,,,,,,
391,Red Springs High,50,41,433,396,380,829,1209,,,,,,,,,,,
401,Saint Pauls High,47,31.8,443,427,412,870,1282,,,,,,,,,,,
402,South Robeson High,36,36.7,428,381,370,809,1179,,,,,,,,,,,
420,Purnell Swett High,113,43,453,413,408,866,1274,,,,,,,,,,,
790,Rockingham County ,430,54.8,495,479,467,974,1441,,,,,,,,,,,
314,Dalton McMichael High,101,53.2,491,475,462,966,1428,,,,,,,,,,,
354,John M Morehead High,127,52.3,503,491,480,994,1474,,,,,,,,,,,
366,Reidsville High,89,56.7,460,438,434,898,1332,,,,,,,,,,,
378,Rockingham Co High,113,58.5,518,502,482,1020,1502,,,,,,,,,,,
800,Rowan-Salisbury ,641,51.2,500,476,459,976,1435,,,,,,,,,,,
308,Henderson Indep High ,,,,,,,,,,,,,,,,,,
340,East Rowan High,133,48.5,511,485,473,996,1469,,,,,,,,,,,
361,Jesse C. Carson,24,20.5,488,470,421,958,1379,,,,,,,,,,,
376,North Rowan High,78,51,503,478,458,981,1439,,,,,,,,,,,
396,Salisbury High,140,73.3,502,471,463,973,1436,,,,,,,,,,,
400,South Rowan High,126,51.2,505,485,462,990,1452,,,,,,,,,,,
408,West Rowan High,140,54.1,484,465,446,949,1395,,,,,,,,,,,
810,Rutherford County ,271,44.9,486,472,455,958,1413,,,,,,,,,,,
324,Chase High,56,34.6,484,465,431,949,1380,,,,,,,,,,,
340,East Rutherford High,106,57.3,461,461,444,922,1366,,,,,,,,,,,
384,R S Central,109,45,510,486,479,996,1475,,,,,,,,,,,
81A,Thomas Jefferson Classical,15,88.2,565,551,538,1116,1654,,,,,,,,,,,
820,Sampson County ,180,41.4,461,445,428,906,1334,,,,,,,,,,,
348,Hobbton High,42,38.9,480,473,442,953,1395,,,,,,,,,,,
349,Lakewood High,39,38.2,448,458,444,906,1350,,,,,,,,,,,
352,Midway High,47,40.2,476,442,425,918,1343,,,,,,,,,,,
388,Union High,52,48.1,441,415,409,856,1265,,,,,,,,,,,
821,Clinton City ,100,61,467,459,450,926,1376,,,,,,,,,,,
308,Clinton High,99,60.4,467,459,451,926,1377,,,,,,,,,,,
830,Scotland County ,214,59.8,463,436,427,899,1326,,,,,,,,,,,
346,Scotland High,214,59.8,463,436,427,899,1326,,,,,,,,,,,
840,Stanly County ,366,54.5,514,473,469,987,1456,,,,,,,,,,,
302,Albemarle High,77,65.3,498,483,477,981,1458,,,,,,,,,,,
332,North Stanly High,87,49.2,486,450,437,936,1373,,,,,,,,,,,
356,South Stanly High,66,52.8,496,438,433,934,1367,,,,,,,,,,,
368,West Stanly High,136,54.6,551,498,501,1049,1550,,,,,,,,,,,
84B,Gray Stone Day,40,97.6,530,530,524,1060,1584,,,,,,,,,,,
850,Stokes County ,213,46.4,502,476,466,978,1444,,,,,,,,,,,
332,North Stokes High,38,46.9,488,454,448,942,1390,,,,,,,,,,,
352,South Stokes High,52,35.4,480,447,437,927,1364,,,,,,,,,,,
358,West Stokes High,123,54.4,516,495,484,1011,1495,,,,,,,,,,,
860,Surry County ,236,46,501,470,455,971,1426,,,,,,,,,,,
316,East Surry High,69,49.3,490,475,461,965,1426,,,,,,,,,,,
336,North Surry High,86,40.6,508,467,454,975,1429,,,,,,,,,,,
352,Surry Central High,81,50.3,504,468,449,972,1421,,,,,,,,,,,
861,Elkin City ,50,64.1,543,519,513,1062,1575,,,,,,,,,,,
308,Elkin High,50,64.1,543,519,513,1062,1575,,,,,,,,,,,
862,Mount Airy City ,78,68.4,514,508,487,1022,1509,,,,,,,,,,,
312,Mount Airy High,78,68.4,514,508,487,1022,1509,,,,,,,,,,,
870,Swain County ,37,34.6,500,507,509,1007,1516,,,,,,,,,,,
314,Swain County High,37,36.3,500,507,509,1007,1516,,,,,,,,,,,
880,Transylvania County ,145,60.7,530,494,489,1024,1513,,,,,,,,,,,
308,Brevard High,110,67.5,530,496,489,1026,1515,,,,,,,,,,,
328,Rosman Middle/High,35,53,529,487,488,1016,1504,,,,,,,,,,,
890,Tyrrell County ,25,45.5,468,474,456,942,1398,,,,,,,,,,,
304,Columbia High,25,45.5,468,474,456,942,1398,,,,,,,,,,,
900,Union County ,1232,68.3,521,502,491,1023,1514,,,,,,,,,,,
316,Forest Hills High,113,53.8,503,475,465,978,1443,,,,,,,,,,,
336,Monroe High,79,51,495,468,444,963,1407,,,,,,,,,,,
342,Porter Ridge High,218,68.1,519,492,485,1011,1496,,,,,,,,,,,
344,Parkwood High,168,70.3,532,501,487,1033,1520,,,,,,,,,,,
348,Piedmont High,134,66,506,486,475,992,1467,,,,,,,,,,,
360,Sun Valley High,164,63.8,506,502,493,1008,1501,,,,,,,,,,,
365,South Providence,5,500,600,562,530,1162,1692,,,,,,,,,,,
377,Weddington High,351,89.5,541,529,521,1070,1591,,,,,,,,,,,
393,Marvin Ridge High School,,,,,,,,,,,,,,,,,,
910,Vance County ,225,54,428,413,412,841,1253,,,,,,,,,,,
364,Southern Vance High,98,53.8,423,396,392,819,1211,,,,,,,,,,,
370,Northern Vance High,127,60.2,433,426,427,859,1286,,,,,,,,,,,
920,Wake County ,5702,79.8,538,519,505,1057,1562,,,,,,,,,,,
316,Apex High,440,89.4,565,534,517,1099,1616,,,,,,,,,,,
318,Athens Drive High,330,84.4,557,523,510,1080,1590,,,,,,,,,,,
324,Longview,,,,,,,,,,,,,,,,,,
348,Needham Broughton High,456,96.4,545,531,519,1076,1595,,,,,,,,,,,
368,Cary High,427,83.1,568,542,521,1110,1631,,,,,,,,,,,
411,East Wake High,147,75,477,456,441,933,1374,,,,,,,,,,,
412,William G Enloe High,427,87.5,577,580,564,1157,1721,,,,,,,,,,,
428,Fuquay-Varina High,190,59,512,497,483,1009,1492,,,,,,,,,,,
436,Garner High,220,62,479,469,454,948,1402,,,,,,,,,,,
441,Green Hope High,479,97.4,570,536,528,1106,1634,,,,,,,,,,,
466,Knightdale High,164,62.4,459,452,438,911,1349,,,,,,,,,,,
473,Leesville Road High,426,86.1,551,529,515,1080,1595,,,,,,,,,,,
495,Middle Creek High,333,71.6,521,506,496,1027,1523,,,,,,,,,,,
500,Millbrook High,360,88.7,521,501,489,1022,1511,,,,,,,,,,,
528,Phillips High,8,19,401,430,420,831,1251,,,,,,,,,,,
552,Sanderson High,282,70.9,538,523,501,1061,1562,,,,,,,,,,,
562,Southeast Raleigh High,344,77.8,512,494,486,1006,1492,,,,,,,,,,,
588,Wake F-Rolesville High,300,75.4,518,504,488,1022,1510,,,,,,,,,,,
595,Wakefield High,353,80.8,525,521,507,1046,1553,,,,,,,,,,,
700,East Wake Health Sci,14,17.9,446,417,426,863,1289,,,,,,,,,,,
701,East Wake Integ Tech ,,,,,,,,,,,,,,,,,,
702,East Wake Arts Ed & ,,,,,,,,,,,,,,,,,,
703,East Wake Engineerin ,,,,,,,,,,,,,,,,,,
92F,Franklin Academy ,37,94.9,526,533,528,1059,1587,,,,,,,,,,,
92G,East Wake Academy,22,104.8,447,465,428,912,1340,,,,,,,,,,,
92K,Raleigh Charter High,113,95,617,635,601,1252,1853,,,,,,,,,,,
92P,Community Partners,8,44.4,470,430,441,900,1341,,,,,,,,,,,
930,Warren County ,99,53.5,412,413,403,825,1228,,,,,,,,,,,
352,Warren County High,99,53.5,412,413,403,825,1228,,,,,,,,,,,
93A,Haliwa-Saponi Tribal Sch,,,,,,,,,,,,,,,,,,
940,Washington County ,72,54.1,438,413,405,851,1256,,,,,,,,,,,
308,Creswell High,9,69.2,386,393,398,779,1177,,,,,,,,,,,
316,Plymouth High,63,52.5,445,415,406,860,1266,,,,,,,,,,,
950,Watauga County ,215,68.5,543,536,514,1079,1593,,,,,,,,,,,
336,Watauga High,215,68.5,543,536,514,1079,1593,,,,,,,,,,,
960,Wayne County ,587,52.7,489,472,454,961,1415,,,,,,,,,,,
324,Charles B Aycock High,128,51.8,516,487,460,1003,1463,,,,,,,,,,,
330,Eastern Wayne High,162,61.4,510,488,474,998,1472,,,,,,,,,,,
335,Goldsboro High,83,72.2,415,414,404,829,1233,,,,,,,,,,,
372,Rosewood High,63,53.4,486,470,454,956,1410,,,,,,,,,,,
380,Southern Wayne High,98,43.4,483,464,444,947,1391,,,,,,,,,,,
386,Spring Creek High,46,41.8,488,488,471,976,1447,,,,,,,,,,,
490,Wayne Early/Middle College,7,31.8,519,566,516,1085,1601,,,,,,,,,,,
970,Wilkes County ,248,47,516,505,478,1021,1499,,,,,,,,,,,
320,East Wilkes High,36,38.7,534,526,511,1060,1571,,,,,,,,,,,
356,North Wilkes High,52,48.1,483,493,461,976,1437,,,,,,,,,,,
388,West Wilkes High,57,40.7,517,495,459,1012,1471,,,,,,,,,,,
390,Wilkes Central High,103,55.1,526,508,485,1034,1519,,,,,,,,,,,
980,Wilson County ,356,54.8,494,471,461,965,1426,,,,,,,,,,,
318,Beddingfield High,86,46.5,461,449,436,910,1346,,,,,,,,,,,
336,Fike High,136,61,516,487,468,1003,1471,,,,,,,,,,,
342,James Hunt High,134,55.6,494,468,471,962,1433,,,,,,,,,,,
990,Yadkin County ,198,55.8,502,471,457,973,1430,,,,,,,,,,,
322,Forbush High,134,61.2,504,475,461,979,1440,,,,,,,,,,,
326,Starmount High,64,47.8,497,462,448,959,1407,,,,,,,,,,,
995,Yancey County ,67,40.6,513,517,490,1030,1520,,,,,,,,,,,
330,Mountain Heritage High,67,40.6,513,517,490,1030,1520,,,,,,,,,,,
