,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,,United States (All Students),1518859,45,515,502,494,1017,1511,,,,
,,North Carolina (All Students),56442,63,511,496,482,1007,1489,,,,
,,NC School of Science & Math,296,NA,690,646,639,1336,1975,,,,
,,NC School of the Arts,106,NA,555,581,563,1136,1699,,,,
10,10,Alamance Burlington,821,62.1,508,481,467,989,1456,,,,
,303,Alamance-Burlington Middle College,5,16.7,516,486,474,1002,1476,,,,
,324,Eastern Alamance High,115,65.7,529,489,467,1018,1485,,,,
,348,Graham High,89,54.6,468,452,439,920,1359,,,,
,360,HM Cummings HS,87,58,434,407,403,841,1244,,,,
,388,Southern High,143,51.4,507,485,480,992,1472,,,,
,396,Walter M Williams High,204,76.4,527,495,487,1022,1509,,,,
,400,Western Alamance High,178,70.1,529,506,479,1035,1514,,,,
01B,01B,River Mill Charter,21,72.4,466,496,479,962,1441,,,,
01C,01C,Clover Garden ,8,61.5,458,428,425,886,1311,,,,
01D,01D,New Century Charter ,8,40,413,426,451,839,1290,,,,
20,20,Alexander County,163,48.1,487,466,443,953,1396,,,,
,302,Alexander Central High,163,48.1,487,466,443,953,1396,,,,
30,30,Alleghany County,52,43.7,519,480,464,999,1463,,,,
,304,Alleghany High,52,43.7,519,480,464,999,1463,,,,
40,40,Anson County,97,44.3,434,409,406,843,1249,,,,
,304,Anson Early College ,1,12.5,,,,,,,,,
,305,Anson Challenge Acad ,1,14.3,,,,,,,,,
,306,Anson High,95,46.6,433,410,405,843,1248,,,,
50,50,Ashe County,93,50.3,530,502,473,1032,1505,,,,
,302,Ashe Cty. HS,93,50.3,530,502,473,1032,1505,,,,
60,60,Avery County,61,50.8,505,487,456,992,1448,,,,
,302,Avery County High,61,50.8,505,487,456,992,1448,,,,
06B,06B,Crossnore Academy ,2,100,,,,,,,,,
70,70,Beaufort County,179,47.1,505,475,461,980,1441,,,,
,330,Northside High,41,47.7,529,505,478,1034,1512,,,,
,339,Southside High,32,34.4,505,461,464,966,1430,,,,
,342,Washington High,106,53.5,497,468,453,965,1418,,,,
80,80,Bertie County,104,50.5,424,408,403,832,1235,,,,
,312,Bertie High,104,52,424,408,403,832,1235,,,,
90,90,Bladen County,161,53.1,435,421,405,856,1261,,,,
,330,East Bladen High,87,56.5,428,415,404,843,1247,,,,
,368,West Bladen High,74,50.3,442,429,406,871,1277,,,,
100,100,Brunswick County,284,42.3,507,496,481,1003,1484,,,,
,308,Brunswick Learn Center,,,,,,,,,,,
,326,North Brunswick High,59,32.1,480,464,458,944,1402,,,,
,334,South Brunswick High,110,48.7,519,513,495,1032,1527,,,,
,348,West Brunswick High,114,46,507,494,476,1001,1477,,,,
110,110,Buncombe County,804,55.1,542,522,505,1064,1569,,,,
,304,A C Reynolds High,155,57.6,559,544,516,1103,1619,,,,
,322,Buncombe Co Early Col,,,,,,,,,,,
,323,Buncombe Co Middle C ,7,18.9,461,536,514,997,1511,,,,
,336,Charles D Owen High,101,60.5,539,521,500,1060,1560,,,,
,340,Clyde A Erwin High,94,41,509,483,456,992,1448,,,,
,352,Enka High,129,52.2,510,501,481,1011,1492,,,,
,380,North Buncombe High,101,51.5,552,517,507,1069,1576,,,,
,416,T C Roberson High,217,73.8,562,538,533,1100,1633,,,,
111,111,Asheville City,195,81.9,527,539,505,1066,1571,,,,
,302,Asheville High,195,81.9,527,539,505,1066,1571,,,,
120,120,Burke County,370,40.9,521,492,472,1013,1485,,,,
,310,Burke Middle College ,20,66.7,501,496,505,997,1502,,,,
,314,East Burke High,158,41.5,516,480,453,996,1449,,,,
,318,Freedom High,178,49.3,528,503,484,1031,1515,,,,
,370,Robert L Patton High ,14,15.6,501,496,479,997,1476,,,,
130,130,Cabarrus County,888,60.1,529,505,489,1034,1523,,,,
,310,Central Cabarrus High,236,65.2,528,501,486,1029,1515,,,,
