,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
,314,Concord High,128,61,518,527,494,1045,1539,,,,
,316,Jay M Robinson High,198,55.5,531,512,501,1043,1544,,,,
,324,Mt Pleasant High,113,53.6,529,493,475,1022,1497,,,,
,326,N W Cabarrus High,205,63.7,542,500,490,1042,1532,,,,
,333,Performance Learning ,8,57.1,364,398,365,762,1127,,,,
132,132,Kannapolis City,81,35.7,519,479,475,998,1473,,,,
,304,A L Brown High,81,35.7,519,479,475,998,1473,,,,
140,140,Caldwell County,315,41.1,519,490,478,1009,1487,,,,
,305,Caldwell Career Cent ,6,18.8,452,428,415,880,1295,,,,
,348,Hibriten High,88,41.7,515,491,486,1006,1492,,,,
,386,South Caldwell High,147,43.8,530,503,489,1033,1522,,,,
,390,West Caldwell High,74,41.3,509,469,451,978,1429,,,,
150,150,Camden County,77,58.8,490,476,458,966,1424,,,,
,304,Camden County High,77,58.8,490,476,458,966,1424,,,,
160,160,Carteret County,295,62.2,527,517,494,1044,1538,,,,
,313,East Carteret High,66,52.8,503,521,496,1024,1520,,,,
,314,Croatan High School,112,78.3,535,528,503,1063,1566,,,,
,344,West Carteret High,117,56.8,533,504,484,1037,1521,,,,
16A,16A,Cape Lookout High Charter,1,4.2,0,0,0, ,0,,,,
170,170,Caswell County,88,42.9,476,459,441,935,1376,,,,
,316,Bartlett Yancey High,88,42.9,476,459,441,935,1376,,,,
180,180,Catawba County,602,57.6,526,487,471,1013,1484,,,,
,308,Bandys High,122,57.5,504,477,460,981,1441,,,,
,320,Bunker Hill High,75,48.1,509,465,465,974,1439,,,,
,340,Fred T Foard High,159,61.2,540,501,486,1041,1527,,,,
,348,Maiden High,85,55.9,510,448,438,958,1396,,,,
,376,St Stephens High,161,61.2,544,512,485,1056,1541,,,,
181,181,Hickory City,200,73.8,534,508,499,1042,1541,,,,
,318,Catawba Valley High,,,,,,,,,,,
,322,Hickory High,200,75.8,534,508,499,1042,1541,,,,
182,182,Newton-Conover City,138,64.2,507,474,456,981,1437,,,,
,316,Newton-Conover High,120,70.2,510,477,459,987,1446,,,,
,700,Newton-Conover Healt ,18,78.3,490,451,433,941,1374,,,,
190,190,Chatham County,281,57.9,506,492,481,998,1479,,,,
,316,Chatham Central High,51,53.1,511,479,473,990,1463,,,,
,336,Jordan Matthewes High,84,48.6,492,481,463,973,1436,,,,
,342,Northwood High,146,67.9,512,503,493,1015,1508,,,,
19B,19B,Woods Charter,15,93.8,616,616,585,1232,1817,,,,
200,200,Cherokee County,114,51.8,504,484,466,988,1454,,,,
,308,Andrews High,33,62.3,477,445,439,922,1361,,,,
,314,Hiwassee Dam High,14,35.9,540,510,489,1050,1539,,,,
,328,Murphy High,67,63.8,509,498,474,1007,1481,,,,
210,210,Edenton/Chowan County,66,52,483,468,441,951,1392,,,,
,312,John A Holmes High,66,52,483,468,441,951,1392,,,,
220,220,Clay County,55,70.5,513,495,483,1008,1491,,,,
,310,Hayesville High,55,70.5,513,495,483,1008,1491,,,,
230,230,Cleveland County4,492,51.1,504,482,465,986,1451,,,,
,312,Burns High,112,48.9,481,457,445,938,1383,,,,
,324,Crest Senior High,151,50.7,511,493,467,1004,1471,,,,
,350,Kings Mountain High1,118,49,523,489,471,1012,1483,,,,
,361,Shelby High,111,59.7,500,486,475,986,1461,,,,
240,240,Columbus County,163,46.8,459,438,431,897,1328,,,,
,334,East Columbus High,60,55.6,435,423,410,858,1268,,,,
,371,South Columbus High,56,43.8,512,463,483,975,1458,,,,
,380,West Columbus High,47,42,426,427,395,853,1248,,,,
241,241,Whiteville City,77,52,447,435,444,882,1326,,,,
,316,Whiteville High,77,54.2,447,435,444,882,1326,,,,
250,250,Craven County,413,43.1,503,481,461,984,1445,,,,
,340,Havelock High,107,36.3,501,495,471,996,1467,,,,
,356,New Bern High,238,56.4,504,477,463,981,1444,,,,
,372,West Craven High,68,28.3,503,477,440,980,1420,,,,
260,260,Cumberland County,1708,53.2,477,469,453,946,1399,,,,
,318,Jack Britt High,245,61.9,512,490,483,1002,1485,,,,
,322,Douglas Byrd High,129,50.4,422,424,408,846,1254,,,,
,325,Cape Fear High,124,42.9,494,476,460,970,1430,,,,
,346,Cumberland Evening Acad.,2,5.3,0,0,0, ,0,,,,
,357,Gray's Creek High ,88,44.7,477,477,452,954,1406,,,,
,359,E E Smith High,121,49,448,426,419,874,1293,,,,
,388,Massey Hill Classic,48,77.4,523,525,500,1048,1548,,,,
,408,Pine Forest High,201,62.2,462,460,439,922,1361,,,,
,409,Ramsey St HS Alt Program,1,4.8,0,0,0,0,0,,,,
,411,Reid Ross Classical ,70,92.1,466,483,472,949,1421,,,,
,424,Seventy-First High,142,42,464,467,446,931,1377,,,,
,427,South View High,198,53.8,489,475,455,964,1419,,,,
,446,Terry Sanford High,214,70.2,517,509,489,1026,1515,,,,
 ,451,Web Academy ,,,,,,,,,,,
,455,Westover High,121,46.4,416,419,403,835,1238,,,,
270,270,Currituck County,160,56.1,508,485,472,993,1465,,,,
,306,Currituck County High,160,56.1,508,485,472,993,1465,,,,
280,280,Dare County,265,78.4,521,503,485,1024,1509,,,,
,304,Cape Hatteras Secondary,27,79.4,529,509,500,1038,1538,,,,
,316,Manteo High,70,72.9,510,497,470,1007,1477,,,,
,330,First Flight High,168,81.6,525,504,488,1029,1517,,,,
290,290,Davidson County,600,49.8,518,495,480,1013,1493,,,,
,308,Central Davidson High,84,40,519,488,478,1007,1485,,,,
,314,Davidson Co Ext Day,,,,,,,,,,,
,315,Davidson Early College,9,100,538,542,493,1080,1573,,,,
,324,East Davidson High,96,56.8,503,489,480,992,1472,,,,
,336,Ledford Senior High,131,60.9,527,515,503,1042,1545,,,,
,348,North Davidson Sr High,185,58.2,524,490,477,1014,1491,,,,
,365,South Davidson High,34,40.5,508,468,449,976,1425,,,,
,388,West Davidson High,61,40.7,501,493,462,994,1456,,,,
291,291,Lexington City,56,43.4,443,433,423,876,1299,,,,
,336,Lexington Sr High,56,46.3,443,433,423,876,1299,,,,
292,292,Thomasville City,72,55.8,461,443,425,904,1329,,,,
,324,Thomasville High,72,55.8,461,443,425,904,1329,,,,
300,300,Davie County,212,52.1,526,508,495,1034,1529,,,,
,312,Davie High,212,52.1,526,508,495,1034,1529,,,,
310,310,Duplin County ,208,47.6,449,439,422,888,1310,,,,
,344,East Duplin High,53,33.3,480,454,449,934,1383,,,,
,352,James Kenan High,68,60.2,409,402,391,811,1202,,,,
,364,North Duplin Jr Sr High,33,60,454,453,421,907,1328,,,,
,392,Wallace-Rose Hill High,54,49.1,466,461,436,927,1363,,,,
320,320,Durham County,1314,68.4,484,483,469,967,1436,,,,
,309,JD Clement Early Col ,46,71.9,462,440,445,902,1347,,,,
,312,C E Jordan High,277,83.4,531,538,524,1069,1593,,,,
,322,Durham's Perform Lrng,3,16.7,,,,,,,,,
,323,Durham Sch of Arts,153,86.4,519,538,518,1057,1575,,,,
,325,Hillside High,180,65,427,427,416,854,1270,,,,
,341,Lakeview School,,,,,,,,,,,
,353,Middel College High,26,53.1,524,564,544,1088,1632,,,,
,356,Northern High,217,69.8,464,447,435,911,1346,,,,
,365,Riverside High,261,70,510,499,482,1009,1491,,,,
,368,Southern High,150,48.5,419,423,407,842,1249,,,,
,700,Southern Sch of Engineering,1,0,,,,,,,,,
32D,32D,Kestrel Heights,10,43.5,472,412,428,884,1312,,,,
330,330,Edgecombe County ,176,42.5,452,434,429,886,1315,,,,
,326,Edgecombe Early Coll ,5,38.5,400,408,394,808,1202,,,,
,328,North Edgecombe High,16,23.9,474,444,426,918,1344,,,,
,350,Southwest Edgecombe,71,40.3,461,441,431,902,1333,,,,
,358,Tarboro High,84,53.2,443,429,429,872,1301,,,,
340,340,Winston-Salem/ Forsyth County ,1997,64.5,510,499,488,1009,1497,,,,
,330,Carver High,122,57.3,397,393,382,790,1172,,,,
,364,East Forsyth High,226,64.6,533,527,513,1060,1573,,,,
,382,R B Glenn High,201,58.4,482,472,456,954,1410,,,,
,446,Forsyth Middle College,12,30,526,540,532,1066,1598,,,,
,454,Mount Tabor High,290,78.2,554,539,527,1093,1620,,,,
,460,North Forsyth High,139,52.7,453,452,441,905,1346,,,,
,486,Parkland High,158,55.1,441,430,413,871,1284,,,,
,495,Reagan High,197,77.3,542,539,528,1081,1609,,,,
,496,Reynolds High,185,64,544,535,529,1079,1608,,,,
,556,West Forsyth High,339,77,560,527,521,1087,1608,,,,
,568,Winston-Salem Prep ,54,79.4,434,450,435,884,1319,,,,
,700,Sch Computer Tech At ,18,52.9,414,411,386,825,1211,,,,
,701,Sch Of Biotech Atkin ,17,42.5,396,408,382,804,1186,,,,
,702,Sch Pre-Engin Atkins ,22,64.7,407,387,375,794,1169,,,,
34D,34D,Woodson School of Challenge,7,77.8,386,343,376,729,1105,,,,
350,350,Franklin County ,222,40.9,487,475,463,962,1425,,,,
,308,Bunn High,85,46.2,498,487,464,985,1449,,,,
,321,Franklinton High,74,41.3,477,465,467,942,1409,,,,
,336,Louisburg High,63,35,483,473,457,956,1413,,,,
360,360,Gaston County ,1044,52.4,499,480,466,979,1445,,,,
,310,Ashbrook High,168,56.6,500,491,473,991,1464,,,,
,336,Bessemer City High,39,31.7,487,477,459,964,1423,,,,
,360,Cherryville Sr High,55,38.7,522,483,469,1005,1474,,,,
,390,East Gaston High,140,54.1,486,461,456,947,1403,,,,
,396,Forestview High,179,66.1,500,481,468,981,1449,,,,
,418,Highlands School,114,86.4,518,492,474,1010,1484,,,,
,428,Hunter Huss High,73,34.9,458,452,441,910,1351,,,,
,470,North Gaston High,87,33.2,479,449,428,928,1356,,,,
,494,South Point High,189,64.9,519,502,489,1021,1510,,,,
36B,36B,Piedmont Comm Charter,8,57.1,495,471,473,966,1439,,,,
370,370,Gates County ,54,40,495,465,455,960,1415,,,,
,312,Gates County Sr High,54,40,495,465,455,960,1415,,,,
380,380,Graham County ,28,44.4,483,483,462,966,1428,,,,
,308,Robbinsville High,28,44.4,483,483,462,966,1428,,,,
390,390,Granville County ,291,53.1,476,467,448,943,1391,,,,
,324,J F Webb High,100,50,482,465,444,947,1391,,,,
,352,South Granville High,,,,,,,,,,,
,700,Jf Webb High,47,64.4,487,470,465,957,1422,,,,
,704,S Granville H,41,47.7,460,457,445,917,1362,,,,
,705,S Granville Bus & Gl ,29,29.9,458,461,442,919,1361,,,,
,706,S Granville Eng & Ap ,13,14.6,462,464,404,926,1330,,,,
400,400,Greene County ,87,51.5,474,459,445,933,1378,,,,
,308,Greene Central High,87,51.5,474,459,445,933,1378,,,,
410,410,Guilford County ,2984,65,503,488,480,991,1471,,,,
,319,T Wingate Andrews High,125,58.7,436,433,422,869,1291,,,,
,326,Middle Col Hs Bennett ,12,41.4,399,375,365,774,1139,,,,
,355,Dudley High,145,53.7,438,417,418,855,1273,,,,
,358,Eastern Guilford High,95,54.9,473,460,442,933,1375,,,,
,390,GC Middle College High,46,80.7,460,461,458,921,1379,,,,
,394,Grimsley High,281,70.8,557,544,539,1101,1640,,,,
,395,Guilford Early College,50,102,639,640,628,1279,1907,,,,
,399,GTCC Mid Col Greensboro,6,22.2,492,512,460,1004,1464,,,,
,401,GTCC Mid Col Jamestown,12,37.5,473,473,441,946,1387,,,,
,406,High Pt Central High,168,66.7,497,481,478,978,1456,,,,
,407,Academy at High Point,6,24,412,422,392,834,1226,,,,
,408,High Pt GTCC MCH,11,28.9,459,457,414,916,1330,,,,
,483,Mid Col High NC A & T,11,57.9,335,346,323,681,1004,,,,
,484,Northeast High,144,55.6,459,449,431,908,1339,,,,
,490,Northwest High,402,77.2,558,532,529,1090,1619,,,,
,508,Page High,249,72.4,507,497,494,1004,1498,,,,
,529,Lucy Ragsdale High,198,68,508,487,487,995,1482,,,,
,544,Ben L Smith High,137,49.5,437,408,398,845,1243,,,,
,545,Smith Academy,30,65.2,416,396,387,812,1199,,,,
,547,Southeast High,209,69.9,490,474,460,964,1424,,,,
,556,Southern High,119,50.6,448,441,429,889,1318,,,,
,562,Southwest High,194,70,494,476,462,970,1432,,,,
,589,P J Weaver Ed Center ,60,93.8,545,563,530,1108,1638,,,,
,595,Western High,274,77.4,530,515,513,1045,1558,,,,
420,420,Halifax County ,131,43.4,408,397,394,805,1199,,,,
,346,Northwest High,81,44.8,416,398,399,814,1213,,,,
,358,Southeast Halifax High,49,40.5,396,394,383,790,1173,,,,
421,421,Roanoke Rapids City ,95,54.3,498,485,471,983,1454,,,,
,316,Roanake Rapids High,95,54.3,498,485,471,983,1454,,,,
422,422,Weldon City ,39,60,409,379,373,788,1161,,,,
,324,Weldon High,39,60,409,379,373,788,1161,,,,
430,430,Harnett County ,422,46.3,485,470,450,955,1405,,,,
,346,Harnett Central High,130,48.9,513,478,463,991,1454,,,,
,371,Overhills High,103,48.8,457,465,437,922,1359,,,,
,378,Triton High,86,38.7,479,456,448,935,1383,,,,
,384,Western Harnett High,103,50.5,484,477,449,961,1410,,,,
440,440,Haywood County ,236,49.8,547,511,503,1058,1561,,,,
,326,Central Haywood High ,1,8.3,,,,,,,,,
,378,Pisgah High,94,43.7,524,499,494,1023,1517,,,,
,390,Tuscola High,141,57.1,563,519,509,1082,1591,,,,
450,450,Henderson County ,422,52.4,538,517,498,1055,1553,,,,
,316,East Henderson High,96,39.8,550,523,506,1073,1579,,,,
,334,Hendersonville High,100,68.5,550,527,519,1077,1596,,,,
,341,North Henderson High,85,49.1,520,489,475,1009,1484,,,,
,352,West Henderson High,141,58.5,534,523,493,1057,1550,,,,
460,460,Hertford County ,97,43.7,426,408,396,834,1230,,,,
,320,Hertford County High,97,43.7,426,408,396,834,1230,,,,
470,470,Hoke County ,205,60.5,420,412,403,832,1235,,,,
,312,Hoke County High,205,61.9,420,412,403,832,1235,,,,
480,480,Hyde County ,21,47.7,502,465,433,967,1400,,,,
,307,Mattamu-  stkeet High,16,41,494,438,421,932,1353,,,,
,316,Ocracoke,5,100,528,554,472,1082,1554,,,,
490,490,Iredell-Statesville ,655,55,543,513,492,1056,1548,,,,
,335,Lake Norman High,310,82,555,532,507,1087,1594,,,,
,346,North Iredell High,91,46.4,525,496,481,1021,1502,,,,
,354,Statesville High,98,40.8,544,504,489,1048,1537,,,,
,362,South Iredell High,84,44.4,545,498,476,1043,1519,,,,
,380,West Iredell High,72,40.7,512,484,466,996,1462,,,,
491,491,Mooresville City ,229,62.9,513,492,479,1005,1484,,,,
,312,Mooresville Sr High,229,62.9,513,492,479,1005,1484,,,,
500,500,Jackson County ,120,55.6,496,488,461,984,1445,,,,
,316,Blue Ridge School,12,52.2,428,447,400,875,1275,,,,
,340,Smoky Mountain High,108,59,504,492,468,996,1464,,,,
510,510,Johnston County ,697,45.6,521,498,479,1019,1498,,,,
,324,Clayton High,215,56.6,517,500,480,1017,1497,,,,
,357,Johnston Middle Coll ,14,31.8,534,529,482,1063,1545,,,,
,368,North Johnston High,48,33.1,544,479,477,1023,1500,,,,
,376,Princeton High,22,38.6,514,487,496,1001,1497,,,,
,399,Smithfield-Selma High,132,51.4,511,489,461,1000,1461,,,,
,402,South Johnston High,66,28.9,525,492,480,1017,1497,,,,
,406,West Johnston High,200,48.3,525,508,487,1033,1520,,,,
520,520,Jones County ,23,38.3,458,444,421,902,1323,,,,
,320,Jones Senior High,23,38.3,458,444,421,902,1323,,,,
530,530,Lee County ,270,54.5,501,473,456,974,1430,,,,
,336,Lee County Sr High,178,62.7,506,478,461,984,1445,,,,
,343,Southern Lee High ,92,45.5,493,465,446,958,1404,,,,
,53A,Provisions Acad Charter,1,5.6,,,,,,,,,
540,540,Lenoir County ,234,39.3,494,465,452,959,1411,,,,
,315,Kinston High,103,49.3,476,443,429,919,1348,,,,
,324,North Lenoir High,73,35.6,488,460,449,948,1397,,,,
,336,South Lenoir High,58,35.8,533,509,498,1042,1540,,,,
550,550,Lincoln County ,432,54.4,504,474,460,978,1438,,,,
,320,East Lincoln High,122,64.6,505,474,456,979,1435,,,,
,332,Lincolnton High,71,38.4,505,477,456,982,1438,,,,
,344,North Lincoln High,142,64.8,510,478,476,988,1464,,,,
,368,West Lincoln High,97,48.3,494,468,446,962,1408,,,,
55A,55A,Lincoln Charter,26,72.2,502,476,478,978,1456,,,,
560,560,Macon County ,135,57,512,490,465,1002,1467,,,,
,320,Franklin High,119,58.6,508,485,460,993,1453,,,,
,324,Highlands School,13,46.4,557,545,524,1102,1626,,,,
,332,Nantahala School,3,50,0,0,0, ,0,,,,
570,570,Madison County ,61,46.6,505,486,466,991,1457,,,,
,318,Madison High,61,46.6,505,486,466,991,1457,,,,
580,580,Martin County ,131,46.5,489,447,434,936,1370,,,,
,304,Bear Grass High,17,47.2,586,500,494,1086,1580,,,,
,328,Jamesville High,16,47.1,535,508,463,1043,1506,,,,
,344,Roanoke High,36,41.9,451,414,391,865,1256,,,,
,368,Williamston High,62,49.2,473,437,435,910,1345,,,,
590,590,McDowell County ,157,40.4,506,492,470,998,1468,,,,
,330,McDowell High,157,40.4,506,492,470,998,1468,,,,
600,600,Charlotte-Mecklenburg County ,4656,68.4,510,496,483,1006,1489,,,,
,302,Ardrey Kell High School,264,84.9,555,529,521,1084,1605,,,,
,361,David W Butler High,400,76.6,529,510,495,1039,1534,,,,
,376,E E Waddell High,66,41,457,453,439,910,1349,,,,
,377,East Mecklenburg High,268,68.7,518,507,491,1025,1516,,,,
,386,Midwood High,7,25.9,429,414,403,843,1246,,,,
,396,Garinger High,113,50.7,426,425,407,851,1258,,,,
,405,Harding Univ High,233,74.2,457,456,445,913,1358,,,,
,415,Hopewell High,360,70.9,496,484,472,980,1452,,,,
,426,Independence High,245,60.8,460,460,438,920,1358,,,,
,439,Derita Alternative ,1,3.7,0,0,0, ,0,,,,
,445,Mallard Creek High,3,,407,340,420,747,1167,,,,
,466,Myers Park High,511,82,584,570,557,1154,1711,,,,
,480,North Mecklenburg High,496,75.8,534,515,503,1049,1552,,,,
,482,Northwest High,80,65.6,499,520,502,1019,1521,,,,
,490,Olympic High5,42,,539,489,475,1028,1503,,,,
,496,Phillip Berry Acad ,193,76.6,422,414,398,836,1234,,,,
,498,Performance Learning,23,46,471,481,463,952,1415,,,,
,508,Providence High,398,92.6,577,550,549,1127,1676,,,,
,535,South Mecklenburg High,257,72.8,525,502,486,1027,1513,,,,
,576,West Charlotte High,157,48.8,416,397,392,813,1205,,,,
,579,West Mecklenburg High,104,38.4,457,436,428,893,1321,,,,
,592,Zebulon B Vance High,241,57.4,467,462,445,929,1374,,,,
,693,Renaissance Olympic ,42,60.9,469,486,457,955,1412,,,,
,695,Int Global Econ Olym ,39,60,457,478,448,935,1383,,,,
,696,Int Bus Comm Olympic ,59,75.6,431,443,413,874,1287,,,,
,697,Biotech Hlth Pa Olym ,54,75,449,433,429,882,1311,,,,
60C,60C,Kennedy Charter,17,21.5,362,339,314,701,1015,,,,
60H Crossroads Charter ,60H Crossroads Charter ,Crossroads Charter,11,40.7,343,360,318,703,1021,,,,
610,610,Mitchell County ,63,45.3,510,521,492,1031,1523,,,,
,334,Mitchell High,63,45.3,510,521,492,1031,1523,,,,
620,620,Montgomery County ,139,49.5,444,423,409,867,1276,,,,
,316,East Montgomery High,72,55.8,422,404,393,826,1219,,,,
,340,West Montgomery High,67,48.9,469,442,427,911,1338,,,,
630,630,Moore County ,465,51.7,536,503,489,1039,1528,,,,
,330,Pinckney Academy,1,16.7,,,,,,,,,
,332,North Moore High,52,34.7,518,490,482,1008,1490,,,,
,336,Pinecrest High,256,60.1,550,512,498,1062,1560,,,,
,360,Union Pines High,156,49.1,520,493,477,1013,1490,,,,
640,640,Nash-Rocky Mount ,475,44.2,495,473,455,968,1423,,,,
,346,Nash Central High,116,45.3,486,453,443,939,1382,,,,
,347,Nrm Early College H ,8,26.7,505,519,473,1024,1497,,,,
,350,Northern Nash High,132,51,485,474,457,959,1416,,,,
,361,Rocky Mount High,128,52.7,515,480,465,995,1460,,,,
,364,Southern Nash Sr High,91,31.8,493,484,454,977,1431,,,,
64A,64A,Rocky Mount Prep ,22,56.4,523,498,471,1021,1492,,,,
650,650,New Hanover County ,948,63.4,524,505,492,1029,1521,,,,
,326,Emsley A Laney High,219,59,510,497,480,1007,1487,,,,
,327,Eugene Ashley High,168,55.8,512,496,483,1008,1491,,,,
,342,John T Hoggard High,346,82.2,551,522,509,1073,1582,,,,
,352,New Hanover High,215,60.4,504,494,483,998,1481,,,,
660,660,Northampton County ,123,61.2,411,401,401,812,1213,,,,
,324,Northampton High West,58,82.9,403,395,405,798,1203,,,,
,336,Northampton High East,65,50,419,407,398,826,1224,,,,
670,670,Onslow County ,657,51,508,488,465,996,1461,,,,
,320,Dixon High,70,56,520,511,494,1031,1525,,,,
,324,Jacksonville High,157,62.3,496,471,447,967,1414,,,,
,333,Northside High,94,50.5,497,480,467,977,1444,,,,
,340,Richlands High,71,40.6,507,502,467,1009,1476,,,,
,344,Southwest High,76,49,475,456,429,931,1360,,,,
,352,Swansboro High,78,46.2,528,510,480,1038,1518,,,,
,364,White Oak High,111,49.3,539,500,482,1039,1521,,,,
680,680,Orange County ,347,77.5,530,513,496,1043,1539,,,,
,310,Cedar Ridge High ,186,82.3,529,516,500,1045,1545,,,,
,332,Orange Senior High,161,72.5,531,508,492,1039,1531,,,,
681,681,Chapel Hill-Carrboro,737,93.1,596,583,574,1179,1753,,,,
,308,Chapel Hill High,382,92.3,600,578,576,1178,1754,,,,
,314,East Chapel Hill High,353,93.6,594,590,572,1184,1756,,,,
68N,68N,Pace Academy,,,,,,,,,,,
690,690,Pamlico County ,43,39.1,509,482,459,991,1450,,,,
,320,Pamlico County High,43,39.1,509,482,459,991,1450,,,,
700,700,Pasquotank County ,244,61.2,450,448,433,898,1331,,,,
,317,Northeastern High,136,69,456,453,443,909,1352,,,,
,319,Pasquotank County High,108,55.1,444,442,422,886,1308,,,,
710,710,Pender County ,233,53.1,498,487,478,985,1463,,,,
,321,Heide Trask High,57,45.2,480,475,465,955,1420,,,,
,326,Pender High,60,39.5,474,441,442,915,1357,,,,
,342,Topsail High,116,72,519,516,503,1035,1538,,,,
720,720,Perquimans County ,53,51,480,456,423,936,1359,,,,
,316,Perquimans Co High,53,51,480,456,423,936,1359,,,,
730,730,Person County ,199,53.5,489,470,460,959,1419,,,,
,352,Person High,199,53.5,489,470,460,959,1419,,,,
740,740,Pitt County ,761,60.1,505,485,469,990,1459,,,,
,309,Ayden-Grifton High,60,45.1,495,486,451,981,1432,,,,
,333,D H Conley High,164,55.8,526,499,490,1025,1515,,,,
,344,Farmville Central High,90,59.2,484,453,449,937,1386,,,,
,366,J H Rose High,225,63,531,517,498,1048,1546,,,,
,374,North Pitt High,74,54.8,457,434,414,891,1305,,,,
,388,South Central High,148,77.1,485,464,451,949,1400,,,,
750,750,Polk County ,85,55.6,523,513,492,1036,1528,,,,
,318,Polk County High,85,55.6,523,513,492,1036,1528,,,,
760,760,Randolph County ,482,46.8,504,481,466,985,1451,,,,
,318,Eastern Randolph High,132,46.3,505,479,463,984,1447,,,,
,348,Randleman High,105,51.5,502,468,454,970,1424,,,,
,358,Southwestern High,98,38.3,502,491,471,993,1464,,,,
,380,Trinity High,147,51.4,505,485,474,990,1464,,,,
761,761,Asheboro City ,175,62.3,517,492,479,1009,1488,,,,
,304,Asheboro High,175,62.3,517,492,479,1009,1488,,,,
770,770,Richmond County ,128,28.1,491,459,453,950,1403,,,,
,348,Richmond Senior High,128,29.2,491,459,453,950,1403,,,,
780,780,Robeson County ,500,38.7,454,426,418,880,1298,,,,
,325,Fairmont High,52,34.2,466,423,433,889,1322,,,,
,342,Lumberton Senior High,183,46.8,465,445,438,910,1348,,,,
,391,Red Springs High,36,27.5,421,377,372,798,1170,,,,
,401,Saint Pauls High,50,30.7,461,459,428,920,1348,,,,
,402,South Robeson High,42,40,386,378,365,764,1129,,,,
